0,1,2,3,4,5,6,7,8,9,contest_num
"I know I've put on a few pounds, but really, does no one notice?",I was told this was a 'jumbo' sized room.,"Martha, I thought you said you were getting a new couch, not a pachyderm."" ",I guess we can cancel that pest control service.,"Next time, I'm picking the Airbnb.","Well, there goes the neighborhood.",I knew we should have measured the doorways first.,Anybody know how to potty train an elephant?,Looks like Junior is going through a gray period.,"""Honey, I think it followed you home from the circus again.",543.0
"I heard the other department is staffed entirely by knees.""",So this is what they mean by putting our heads together on a project.,I guess open office plans have really gone to their heads.,"Brings new meaning to the term 'headcount.'""",I hope they offer good mental health benefits.,Talk about a brainstorming session.,"I knew they wanted us to be more head-strong, but this is ridiculous.",Looks like management finally got their wish of us living at the office.,I guess this is one way to ensure we're always thinking about work.,"""I heard the boss is a real stickler for face time.",544.0
"Sir, I clocked you going Mach 3 in a 55 zone.""","Learner's permit, please.","Elon, is that you again?",Just keep driving straight until you reach the stratosphere.,"No, sir, 'to the moon' is not an acceptable destination.","Next time, please use the designated spacecraft lane.",I'm going to need to see your intergalactic driver's license.,This isn't the kind of high I usually deal with on this job.,"Well, you can't park it here.","""NASA budget cuts are really getting out of hand.",548.0
"I know the neighborhood has gone downhill, but the property values are amazing.","I told you we should have turned left at the last crater.""","Perfect spot for a quiet, romantic getaway.",The brochure did say 'ruins with a view'...,"Next time, I pick the picnic spot.","Fallout Shelter for two, please.",Urban renewal project phase one complete.,"I don't know, this minimalist architecture is growing on me.",The realtor swore this was an up-and-coming neighborhood.,"""Ah, just like the day we first met.",553.0
"I thought they said this was a wine and chain party, not a wine IN chains party!",So this is what they mean by being a 'captive audience'.,"I appreciate the vintage, but the bondage is a bit much.""",Apparently 'BYOB' meant 'Bring Your Own Bondage'.,"I came for the Merlot, but I'm staying against my will.",This gives a whole new meaning to being 'tied up at a party'.,"I guess we're a 'a chain gang' instead of 'a wine gang'.""","Usually the wine has a full body, not the guests!",'Wine flight' doesn't mean what I thought it did...,"""This Chardonnay pairs well with shackles.",568.0
I told you we should have taken that left turn at Albuquerque!,"I guess when they said 'trailblazing leadership,' this isn't what we had in mind.""","Next time, let's just stick to trust falls and rope courses.",I knew we should have gone with the 'Warrior-themed' retreat!,"When the CEO said we needed to be more 'agile,' I didn't think he meant on horseback!",I thought they said we were going to a 'War Room' meeting...,Looks like somebody took 'following the leader' a bit too literally.,I guess this is what they meant by 'going off the beaten path'.,"When HR said we needed more 'diversity and inclusion,' I wasn't expecting this!","""I hope this counts towards our 10,000 steps for the day.",575.0
I told him it was the bees' knees of hiding spots.,"Honey, I'm home!",Guess he took 'buzzing off' a bit too literally.,"Well, at least he won't get stung by losing this round.",Looks like he found quite the bumbling hiding spot!,Must bee a real honey of a hiding place!,"He's taking 'hide and seek' to a whole new hive!"" ",Apparently he missed the 'No Trespassing' buzz at the hive entrance.,"Queen Bee is NOT going to bee pleased about this...""","""Un-bee-lievable hiding skills!""",576.0
Looks like they ordered the paparazzi special with extra flash.,"I heard the chef's autograph is to die for.""","Remind me, is this a Michelin star or a Hollywood star restaurant?",I guess 'get the door' has a whole new meaning here.,So much for a low-key dinner...,When you realize your waiter is also a reality TV star.,"Who had the audacity to order a side of privacy?""",Dining with all the ambience of a red carpet premiere.,'Dinner and a show' really undersold this experience.,"""I said I wanted a photo of the menu, not a full photoshoot!",578.0
"I warned you about feeding him after midnight.""","Sorry, my liege, the royal tuna shipment has been delayed.","Clearly, someone forgot to pay the petting tax this month.","It's the latest in feline growth supplements - a little too effective, if you ask me.",I think we spoiled him a bit too much.,Looks like the 'king of the castle' took his role a bit too seriously.,"Next time, let's adopt a hamster instead.",I told you not to buy cat food from that mad scientist down the street.,"When they said 'lion cut,' I didn't think they meant an actual lion!","""I guess this is what happens when you use a doghouse for a litter box.",579.0
I told you we should have used a reference photo.,Looks like someone skipped figure drawing class.,"When you ask for constructive criticism but can't handle the truth."" ",On the next episode of 'So You Think You Can Draw...',The downside of living before How-To art books were invented.,"'Draw me like one of your French ibexes,' she said.",Paleolithic Pictionary was way harder than it looked.,"Well, it's a start. Only 30,000 more years until the Renaissance!""",That moment when you realize your spirit animal is a stick figure.,"""Meanwhile, at the School of Rock Art...",590.0
"Spot, come! Time for your spacewalk!""",I guess every species needs a best friend.,"Intergalactic fetch champion, 3 years running!"" ",First contact was... underwhelming.,Guess they weren't kidding about the 'universal' dog translator.,Earth's secret weapon unconditional love.,"Houston, we have a pupper.","What do you mean, 'take me to your feeder'?""",zero-g zoomies in 3...2...1...,"""The real reason behind the Doge coin craze.",600.0
"I told you I wanted a table with a view, but this is ridiculous!","I hear the special today is vertigo with a side of acrophobia.""","I hope they have a good wine cellar, because I'm going to need a drink after this climb!",Talk about high dining!,"I guess when they said 'elevated cuisine,' they meant it literally.",I hope the prices aren't as steep as the climb to get here!,"Well, at least we won't have to worry about getting a reservation.",I'm not sure if I'm more impressed by the view or the fact that they got a piano up here.,"The food better be good, because I don't think I have the energy to send it back.","""Honey, next time let's just order takeout.",603.0
"I told you, that's not how you spell 'wheel'.","So, this is what you've been doing instead of hunting?",I don't think 'Kilroy was here' is going to catch on.,I'm pretty sure that's not how you draw a sabertooth tiger.,"Instagram won't be invented for another 30,000 years, you know.",I hope future archaeologists appreciate your artistic vision.,"Next time, can you paint something we can actually eat?",I'm starting to think this 'art' thing is just an excuse to avoid work.,"If you're going to paint our hunt, at least make me look buff.","""So, this is your plan for getting us into the history books?",604.0
"I told you we should have sprung for the deluxe bait.""",I think we need a bigger boat...and an electrician.,"Well, at least we'll have a bright future in interior decorating.",I knew I should've checked the tide tables for 'crystal' instead of 'fish'.,Looks like we've entered the fancy part of the lake.,I guess this is what they mean by 'angling' for compliments.,Hope the fish aren't too intimidated by our new 'lure'.,"I've heard of 'fishing for compliments,' but this is ridiculous!",Looks like we've stumbled upon the fabled 'Chandelier Trout'.,"""Time to update the old saying 'There are plenty of chandeliers in the sea'.",615.0
"I know eternal damnation is rough, but check out this season of The Bachelor!","evil ""Now for tonight's featured sin..."" ","Welcome to Hell's Nudist Resort, where the in-room entertainment is pure fire!","And if you direct your attention to the television, you'll see that the Cowboys are playing the Eagles.","For your sins, you've been condemned to an eternity of daytime television.","Instead of flames, we've upgraded to a state-of-the-art soul-crushing media experience.","Tired of roasting? Cool off with some Netflix & Chill, Hell edition!","To please our nudist clientele, we now offer an all-naked TV programming package.","Just wait until you see the 24/7 political news channels we get down here!""","""And if you need a break from the inferno, feel free to fan yourself with our pitchforks.",617.0
I need something that says 'bold yet chivalrous' for my Tinder profile pic.,Do these pauldrons make me look taller? I'm meeting the dragon at 7.,"I'm thinking of switching to a more modern look, maybe yoga pants and a hoodie.","Just a heads up, I'll need to be able to do the Macarena in this.","Ugh, full plate is so last season. What else have you got?""",I need something that screams 'I own a castle' but whispers 'I'm not compensating for anything.',Let's go with lightweight mithril. I'm trying to cut down on clanking.,"I was hoping for a shade that really brings out my eyes, maybe a nice cerulean?","What's your return policy in case a sword goes through it?""","""Got anything that pairs well with a black stallion? It's a company horse.",621.0
We've got your whole family in custody. Start talking or they're going down too.,"Look, we can do this the easy way or the hard way. Which doll do you want to be?",Confess now and I'll make sure the judge goes easy on your little ones.,We've uncovered your Russian nesting doll smuggling ring. The jig is up!,Keep denying it and we'll lock you up with the rest of your 'matryoshka' crew.,Those dolls won't be so smug when they're behind bars with you.,"If you don't crack, we'll just keep opening a bigger doll until someone squeals!",We've got enough evidence to put you and your little matryoshka gang away for good.,Cooperation will make things a lot easier for you and your wooden accomplices.,"""Open up and tell us everything, or you'll be locked up tighter than those dolls!",632.0
Jim's midlife crisis was a bit unconventional.,"The new office team-building exercises were questionable at best.""",Playtime at the Grown-Up Daycare Center.,"When they said it was a playground for all ages, he didn't expect this.","Well, this is one way to make new friends in the neighborhood.",Bob takes musical chairs very seriously.,"Next on the agenda competitive hopscotch!"" ","Suddenly, Harold regretted not reading the fine print on the park rules sign.",Recess at the adult education center is a bit different.,"""The auditions for the live-action Benjamin Button sequel were going great.",633.0
The pharaoh demanded a tomb with a view... and easy access to snacks.,"I thought they said the afterlife would be a real sausage fest."" ","Every day, Ra enjoys a 'Sun Dog' on his journey across the sky.",The one souvenir stall in Egypt without miniature pyramids.,"Sure, the location brings in customers, but the commute is a killer!",Anubis said I could really make a killing up here.,Khufu's lesser-known follow-up project the Great Food Truck of Giza.,Serves sandwiches fit for a Sphinx... because it's the only place she can grab a bite!,"Ramses may be Ozymandias, King of Kings, but I am Tozymandias, King of Franks!","""The mummy's curse? Heartburn from too many chili dogs.",634.0
"I told you this saddle was a terrible idea, Squeakers.""",I'm starting to think Uber wasn't the best career choice.,"Next time, we're getting a dog.",I knew I shouldn't have let you book the travel arrangements.,"This is the last time I trust Craigslist ads.""",So much for our dreams of becoming rodeo stars.,"Well, the sales mouse said this model had excellent steering...""",I'm starting to rethink our 'Puss in Boots' costume idea.,"On second thought, let's just stick to the exercise wheel.","""Are you sure you passed your riding license test?",640.0
"You should see me play 'Chopsticks'.""",I find this helps soften my touch on the keys.,It's not easy being a lover and a fighter.,I'm still working on my one-two punch line.,I thought they said to keep my guard up.,mozart/mma. coming to a theater near you.,No one told me it was a boxing match against the piano.,Knocked out a few tunes before the big fight.,All warmed up for my concerto in KB major.,"""It's not a recital without a boxing recital.",643.0
"I know the open floor plan is trendy, but this might be taking it a bit too far.","Honey, I think we took a wrong turn on our way to the dining room.",I told you buying a house next to the train station would have its quirks.,"Well, at least we'll never miss the train again.",I knew we should have gone with a more reputable interior designer.,"Next time, let's just stick to model trains, okay?",I guess this is what they meant by 'bringing the outside in.',Talk about an open-concept layout!,All aboard the 515 to the kitchen!,"""I love what you've done with the place, but I think you misunderstood 'train of thought.'",649.0
"I said I wanted a sweet escape, but this is ridiculous.",Just another mirage in the dessert.,"Paradise found, dentist appointment needed.""",I'm pretty sure this wasn't what life coaches meant by finding my happy place.,"Well, there goes my hope of getting rescued by a Weight Watchers cruise.","And to think, I used to dream of being stranded on a tropical island.",The S.S. Candy Cane's final resting place.,"When you wish upon a star, be very specific.",Day 45 I've resorted to eating the sand. It's pure sugar.,"""New life goal befriend Willy Wonka.",652.0
Next on the agenda Does the podium make my equator look big?,I appreciate you all taking time out of your busy orbits to be here.,"As you can see, I've lost a little polar ice cap weight."" ","I know, I know - I need to cut back on the greenhouse gases.",Welcome to the Global Summit. Our rotating schedule is packed!,Does this lectern make me look flat? Be honest.,"First order of business a moment of silence for Pluto."" ","Thanks for making the 25,000 mile trip, it means the world to me.","I know what you're thinking... yes, I'm self-contained.","""Sure, I may wobble a bit, but that's just how I roll!",655.0
"By the power vested in me by Odin, I now pronounce you man and wife. You may pillage the bride.","Do you take this shield-maiden to be your lawfully wedded wife, in battles and in mead halls?","Speak now, or forever hold your battle-axe.",I'm just here for the sword dance and the open longboat bar.,I hope this marriage lasts longer than our last raid season.,I heard they registered for gifts at Pillage & Plunder.,Next on the agenda tossing the bride over the hull.,I wonder if they'll smash cake in each other's faces with their helmets on.,"Sure, it's a lovely ceremony, but I can't wait for the epic honeymoon raid.","""At this point, who needs another set of drinking horns?",662.0
I said 'allebaba' not 'habeas corpus'!,"Excuse me Your Honor, I thought this was the magic act tryouts.","I swear to tell the truth, the whole truth, and nothing but the truth...presto!",I object! That evidence clearly disappeared.,"The prosecution's argument was an illusion, Your Honor.","Pick a law, any law.","For my next trick, I'll make the jury's doubts disappear!"" ","Well, when you said 'court of magic', this isn't what I had in mind...",Is this an unusual outfit for court? I plea the fifth!,"""I've been accused of magical thinking, Your Honor.",664.0
"Don't worry, the couch isn't always this red. It just flares up when it senses deep-seated issues.""",I see you've noticed my new chromatherapy couch. It's supposed to evoke raw emotions.,"I believe a bold couch makes for bold breakthroughs. Shall we begin?""",The last patient was a bull. I'm still waiting on the replacement from IKEA.,"atient ""I feel like all eyes are on me."" Therapist ""Let's unpack that. But first, can you scoot over?",The interior decorator said this couch would be a conversation starter. I didn't realize she meant between me and my patients.,I find exploring the unconscious is more effective on a couch that looks like a Rorschach inkblot.,Don't mind the couch. It's just going through a phase. We all have our rouge days.,"I accidentally spilled my morning coffee on the couch. But I think it really ties the room together now.""","""The couch isn't usually this red. It's just blushing after hearing so many revealing stories.",666.0
Welcome to my 2 AM standup routine!,"Now for my killer impression... of dad snoring!""",Tonight's show is brought to you by... Pampers!,Lemme tell ya about the indignities of potty training...,"I got a million of 'em... and they all involve spitting up!""","My parents think I'm crying, but I'm just workshopping material.","You've been a great audience! I'll be here all night. Literally.""",Who am I? What is this? What's the deal with pureed peas?!,Is this thing on? I can barely talk into it!,"""Wanna see me make the adults laugh? Watch this... Waaaah!",669.0
"When management said we needed to establish dominance, this isn't what I had in mind.",I knew we should have established weight limits for mammoth-top battles.,"Well, there goes our 5-star Prehisto-Uber rating.","You just had to supersize your spear, Carl.","Boys, I told you - settle your trunk space disputes on the ground!","Sure, the view's great, but the mammoth-top property taxes are woolly murder.","Darn it, the tour guide said this was the kiddie mammoth!","Next time, we hunt-and-gather our own way home from the cave party.","On the upside, my neck warmers are knitting themselves.","""Turns out, establishing a Mammoth Mounted Police was not the panacea we thought.",671.0
"I'm prescribing more cheese, but I may be biased.",You've been looking a little mousy lately.,"Take two of these and call me in the morning...if the traps don't get you first.""",I hope you're not here about the bubonic plague again.,Looks like you've gained a few...better cut back on the garbage feasts.,"Lab results are in. Congratulations, you're having a litter!",I'm afraid this visit isn't covered by your cheese-based insurance.,"Nurse, hand me the Ratatouille, stat!",Just gnaw on this prescription twice a day.,"""I hate to be the bearer of bad news, but...your tail is looking a bit ratty.",672.0
The paleo diet is really catching on.,"Wow, Fred Flintstone had it easy.",I told you we should've invented fire before the wheel.,"Hey look, the first tailgate party!","Well, it's a start. Next week, let's work on utensils."" ",So this is what they meant by 'a man's natural habitat'.,"You're overcooking it. This isn't the Stone Age, you know.",I don't know... I prefer my mammoth medium-rare.,"Next time, can we just order pizza?","""This new 'fire' trend better not be just a flash in the pan.",676.0
"I made you a tuna sandwich, now rub my belly for 20 minutes.""","Good, now leave the faucet dripping. I like drinking that way better.","Yes, you may have one square of toilet paper. But make it snappy!","While you're up, bring me that dead mouse from under the couch.","Foolish human, you think this is your house. Mwahaha!","Time to scoop the litter box, servant. And make it spotless!",Bring out the holiday turkey. It pleases me.,"Turn up the thermostat, then fluff my pillow. I'll be napping until 6pm.","You will forget this ever happened. But first, belly rubs.","""Oops, the mind control wore off. He's coming to. Act natural!""",677.0
"I told you those falling property values would catch up with us!""","Wait, this happens every year?!""",I blame climate change.,Maybe we should have raked more...,"Leaf me alone, I'm not ready!",I'm pretty sure this voIds our lease agreement.,So much for putting down roots!,"Whoops, spoke too soon about nailing that job interview.",Time to turn over a new leaf... literally.,"""I'm deciduous, he's coniferous, and now it's getting serious!",682.0
