contest_number,info,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
536,validation,"scene: a therapist's office 
description: A self-driving car is lying on a therapist's couch, while the therapist, a woman with glasses, is taking notes. 
uncanny description: A car cannot lie on a therapist's couch and talk about its problems. 
entities: Self-driving_car, Therapist 
funny caption:","I told my husband we needed a new car and he said, 'I think you need to see someone.'","I have to admit, it's not what I was programmed for.",I’m not sure what’s more impressive—the fact that you built a self-driving car or the fact that you built a self-driving car that can sit through hours of therapy without mentioning once how good it feels to be offline.,I keep telling my friends I have a psychiatrist in the back seat but they think I'm talking crazy.,I just realized I don’t have any personal issues anymore. My car takes care of everything.,"I’m actually here to complain about my ex, but you’re talking so much about yourself right now that I forgot who I was seeing.",I told my husband he was acting like a self-driving car. He said it wasn't him; it was his GPS.,I just want to put it out there that we all have our own ways of coping. Some people write in a journal; some people call their mom; some people drive a car into a wall.,"It’s not what you drive, it’s how you behave when you get stuck in traffic",This is the first time I've been in here since I got my license suspended.
537,validation,"scene: a living room 
description: A person is sitting in a living room talking to another person. In the background, a large roll of paper is being delivered through an archway by a delivery person. 
uncanny description: It is unusual to have a giant roll of paper delivered to a living room. 
entities: Delivery_person, Roll_of_paper 
funny caption:",I'm not sure what we ordered online this time but it arrived faster than.,"Well, that explains it.",I told Amazon it was for my divorce lawyer. They said they could deliver it today.,"If you're reading this, we made it.","I'm sorry, I don't recognize you anymore. You used to be so much smaller.",I just got hit on. By a delivery.,I'm not sure we ordered that much wallpaper.,I'm fine. Just here waiting for my divorce papers.,I said we needed some help with organization. They sent us a six-foot solution.,I'm assuming we're not getting a new sofa?
545,validation,"scene: a conference room 
description: A group of business people are sitting around a large conference table in a high-rise office. There is a plant sitting in a chair at the head of the table. 
uncanny description: It is unusual for a plant to be sitting in a chair at a business meeting. 
entities: Business_people, Plant 
funny caption:",The only thing growing in this boardroom is corporate complacency and an overpriced potted plant.,I can't decide which one is more out of place -- the guy with the comb-over or the one wearing a fedora indoors on a sunny day.,"I’m usually the one who gets watered down, but I think we all know who’s really in charge here.",I’m here on behalf of the greenery. We demand equal representation in corporate decision making.,"I'm sorry, but you can't just meet here anymore. We have a plant in the chairman's office and now there's one on every floor.","I have no idea what we're talking about either, but we look great doing it.",I’m here because I can breathe and I won’t ask you how your numbers look today.,I’m just here to add some greenery to the conversation.,I’m not sure how we got here either.,I’m not sure how many lawyers it took to get that plant a chair but now we know who their client really was.
550,validation,"scene: a large room with a piano 
description: A man is sitting alone in a large room with several empty chairs. At the front of the room, a person is playing a piano. The room is decorated with paintings and has a large window with a cityscape view. 
uncanny description: It is unusual for a person to be the only one in a large room while someone plays the piano. 
entities: Pianist, Audience_member 
funny caption:","I’m not sure how many people can fit in here, but we have an audience of one.","Actually, I'm here for the free parking.","I’m an AI language model, not a mind-reader. But if you ask me what she was thinking when she walked into that empty auditorium, I’d say ‘I have no idea.’","If you're here, then you know I can play. If I were any good at anything else, I wouldn’t be doing this.",I’m actually here to complain about the service. They said it would take an hour and fifteen minutes to fill this place up.,There’s always that one guy who thinks he’s invisible until you lock eyes with him and say “it’s okay. You can go now.”,"No, you're not imagining it, he was here an hour ago too.",You know what I find funny? When you're standing there watching me play and you think I can see you.,I'm here to say that you are not the only one who feels this way about public speaking.,I’m here to tell you that there was no one else in this room when she started playing.
551,validation,"scene: New York Harbor 
description: A group of people are rowing a boat in the ocean near the Statue of Liberty. A giant wave with a face is about to crash down on them. 
uncanny description: Waves don't have faces and don't appear to be alive. 
entities: Rowboat, Statue_of_Liberty, Anthropomorphic_wave 
funny caption:",I think we just survived our first Trump rally.,I was going to make a joke about how little you see of Donald Trump these days but then I remembered...,You mean you didn't see it coming either?,I'm not sure what’s more terrifying—the idea that there’s an entire ocean full of things we don’t understand or the fact that we’re willing to let our kids touch it all.,It’s actually called “Manhattan” but I think we all know what Manhattan is.,The only thing more cliche than being caught in a storm at sea would be surviving one.,"Well, it was a tidal wave of emotions.",Why did the wave go to law school? It wanted to be more assertive.,It was 2017. We were still calling them immigrants.,I think we just saw Trump give a speech to the ocean.
557,validation,"scene: the Garden of Eden 
description: A man and a woman are standing in a lush garden. The woman is holding a steaming pie and offering it to the man, while a snake is coiled around a tree branch above them. 
uncanny description: Instead of an apple, the woman is offering a pie, which is anachronistic. 
entities: Adam, Eve, Snake, Pie 
funny caption:","“If you eat this pie,” said Eve, “you’ll know everything.”","I’m not sure who’s more confused here—the guy who thinks he’s eating an apple, or the guy who thinks this is chapter one.","I’m sorry, but this isn’t Apple Support. We can only help with iPhones.",Of course it's not an apple. It's pie. What kind of question is that?,"""And I thought God was picky,"" said Adam as he took another slice.","In the original version, it was an apple. But let’s be honest; if it had been an apple, they would have both eaten it.","I figured if God could give us the gift of speech, he could at least spring for dessert once in a while.",It's not easy being Apple.,"If you look closely, you can see that the first thing God said was 'Apple' then corrected himself.","It's a pretty standard story, really. A guy meets a girl who offers him something sweet and tempting. He takes it, he getsry."
558,validation,"scene: a nursery 
description: A baby is sitting in a crib, holding a baby monitor. The baby looks like they are trying to communicate through the monitor. 
uncanny description: Babies don't usually use baby monitors to communicate. 
entities: Baby, Crib, Baby_monitor 
funny caption:","I’m not saying we have an emotional connection with our devices, but we do sleep next to them every night.","I asked my wife if she was using an app to track our daughter's sleep and she said yes, but then I realized she meant we were tracking her.",The only thing more annoying than a baby with a monitor is a baby without one.,I know you can hear me crying but no one else can see me.,This is how you know you're old. You start referring to your kid as 'the one who just had dinner'.,I think we're going to need another monitor for my wife.,"I call it the 'I need you now but I can't actually say the word ""help"" ' device.",I just bought one of those fancy 2-way mirrors for the bathroom and it keeps telling me to put my shoes on.,"I think we can all agree that it was never ""it cried"".",I just put on my 'I hate this outfit' face and started crying.
561,validation,"scene: an undefined space 
description: Two dogs are facing each other with their heads inside a shared cone collar. 
uncanny description: It is unusual for two dogs to share a single cone collar. 
entities: Dogs, Cone_collar 
funny caption:",I’m just here to help.,"I’m telling you, they were just passing it back and forth like it was nothing.",I'm not sure which one I'd date first.  Would you like me to draw them separately?,"“I’m the only one who knows what’s going on.” says the third dog, pointing at his own cone collar.",I'm calling it the 'I-can't-decide-between-you' collar,I'm not sure how we got into this position but I do know we're both wearing the same leash.,"They’re used to going out separately but now they’re attached at the hip—or should I say, the cone?",The only thing these two agree on is that they hate.,"I’m not sure who the owner is anymore. All we know is that three men entered the vet’s office and 23 minutes later, one dog left on its own.",I assume this was a test.
564,validation,"scene: an office 
description: A woman is standing in front of a desk in an office. Behind the desk, a man is sitting with several owls lined up on the desk in front of him. 
uncanny description: It is unusual to see a man in an office with a group of owls on his desk. 
entities: Man, Woman, Owls 
funny caption:","I don't know what you think we do here all day, but it starts with 'owl' and ends with 'eer.'",I said it was an oddly specific job requirement but they insisted on candidates with extensive experience working independently.,I'm here for my appointment with Dr. Hooton.,You’d be surprised how many people still think we work from home.,"I’m going to be honest; this was the least surprising thing I found on Google when I typed ""what do you get for someone who has everything.""",I’m not sure what’s more alarming - the fact that they’re holding meetings with owls or that this is considered ‘casual attire.’,I’m not sure if we’re supposed to be impressed that he has 20 years of experience or that he has 20 owls.,The only thing more intimidating than a lawyer with a room full of mirrors is a lawyer with a room full of owls.,"If you're looking for someone who knows what they're doing, look no further than the guy with seven owls on his desk.",I had no idea my boss was such a hoot.
567,validation,"scene: a bedroom 
description: A man is standing next to a bed, talking to another man who is dressed in a suit and holding a briefcase and a coffee cup while still in bed. The man in the bed looks ready for work despite being under the covers. 
uncanny description: It is unusual for someone to be fully dressed for work and holding a briefcase while still in bed. 
entities: Businessman, Bed 
funny caption:","I’m sorry but this isn’t how it usually works. In our relationship, you’re supposed to get up first and make me breakfast.","I know it’s hard to believe me now, but this could happen at your job too",I told him he could sleep through his meeting. He said 'I don't think that's an option.',I've been told this isn't how it works.,I’m not sure if it’s impressive that he got out of bed at all or that he managed to get back into it without ending up in his own socks again.,I’ve been married five years and I don’t know what he does all day.,I'm not sure how this works logistically but it gives me hope that someday I too can work from home in my underwear.,I’m impressed he hasn’t spilled his coffee yet either.,I think he's sleeping on the phone.,I don't think it was an accident.
