0,1,2,3,4,5,6,7,8,9
Do you smell peanuts?,He's hiding out until after the election.,This may be the end of the GOP,Do metaphors poop?,"Wouldn't a ""Make America Great Again"" cap have sufficed?",I miss understood it when you said that having a pet would only cost us only peanuts.,"I know it's between this thing and Hillary, I'm not happy either.",Thanks for making our house great again,I wish you'd just gotten a yard sign!,No one ever asks if there is ROOM for the elephant in the room.
"You find that you're taking your work home with you, too?",Work was on my mind before it was cool.,Overhead's a real problem here.,It's desk work all the way down.,Ever have that dream where you're driving home and without thinking you open the sunroof?,Do you think he would have drawn apples if his name was 'Mac'?,It's like we're in a New Yorker cartoon.,I think miniaturization has gone too far.,Flat tops would have been better than desk tops.,It's clearer now but I miss the Angel and the Devil.
"Sorry, but I'm not buying the 'broken speedometer' excuse.",The bad news is you're under arrest. The good news is you set a new land speed record.,"Well, at least you're not drunk.","I'll let you go this time, but just because you came in peace for all mankind.",We're going to need a bigger tow truck.,License and alien registration card please.,"No, you're about 2,000 miles east of Bonneville",Do you know how fast you were going? I would love to know.,Seatbelt?,"No, I can't forget it just this once."
I guess the honeymoon's over.,"You forgot to change the nuclear codes, didn't you?",Adam and Eve:The Next Generation,"Well, we made it to 2017.","But the point is, we voted our conscience.",You get half.,But what about Hillary's emails?,"Frankly, I liked it better before they drained the swamp.",I think we need to take a harder look at the Electoral College.,I guess it's now up to us to make America great again.
"It's an off-vintage for Bordeaux. Trust me, you'd hate it.",Our administration's hazing is a friendlier form of waterboarding.,Charles tells me you swim with fishes.,Does this mean you two are back together again?,"Well hello, I'd heard you two weren't free tonight.",Let's just say you're toast!,I'm guessing this wasn't on your bucket list.,That's the only way I would be able to stop drinking.,So I'm guessing you didn't got the memo on disagreeing with the new administration's policies?,So why were you two running late?
"I was told we need to ""give them the business.""",They're here to ensure I don't sign no stinkin' Magna Carta.,"It's mostly a Norman invasion, but we've sprinkled in a few Eugenes and Arnold's for variety.","First the snakes, now the lawyers. What will Patrick think of next?",Ever worry about Western influences?,"All in all, raping and pillaging with lawyers just isn't the same.",Do you think this is what the king meant by 'hostile takeover'?,It's a new world.,"Tax men? I distinctly heard ""100 axe men.""","When we get a look at their books, it's all over."
Your Bumble profile didn't say anything about a pollen allergy.,I still live with my mother. We all do.,An empty nest at last.,I bought the Queen-for-a-Day package.,Apparently a wicked witch does not like to be called honey.,It's the getting out that's the hard part.,The doghouse was occupied.,Me? I'm studying sudden bee colony collapse. Why do you ask?,Would you rather I have a man cave?,They'll return my torso if we stop eating honey.
"The name of the place is '""Pizzarazzi.'","It's pronounced ""pap·par·del·le"".",I ordered pizza with paparazzi.,Didn't he used to be the Speaker of the House?,The pepperozzi are after me!,The quality is okay. It's the sex tape that made it famous.,you said you just won WHAT,Did you order pepperoni or paparazzi?,"Did you have to order the ""Pizza Diana""?",I hear the pizza here is world famous!
"Listen, you can't rule our lives, but you can sleep in the bed tonight.",And just where did you exile the dog?,Roger and I would like to talk to you about the sudden spate of beheadings.,"But you're more than a figurehead to us, Pooky.","I guess I'm just more of an egalitarian. You know, a dog person.",Maybe if you didn't bat them around with your paws they'd respect you more.,We've decided to get a dog.,Do you think we pamper him enough?,Catatonic?,"Well, I did tell the taxidermist he ruled the house."
I think he's on to something.,Evolution is catching up faster than I expected.,"Yes, but is it art?","Careful, looks like a shopping list for a stew recipe.",The cave will be worth so much more with him dead.,It's a memoir.,Of course it's priceless! We have absolutely no unit of currency!,I was thinking of something more traditional for that wall.,He's posting tomorrow's menu. We better get out of here!,We should go back and get the audio guide
