0,1,2,3,4,5,6,7,8,9
I thought it'd be more of a greeny grey.,Sex.,"Umm, no, we can't just agree to disagree!","Well, at least we know what the elephant in the room is.",I am not talking about it,"Let's face it, Harry. The Republican Party is occupying too much of our lives.",I liked the 800-pound gorilla better.,Perhaps its time we talk about the 800 lb gorilla in the room.,"Yes, dear. I'll put the skeletons back in the closet and return the elephant tomorrow.","Of course he's a cliche, but I still want to talk about him."
Mine has more GB than yours.,When does yours usually clock out?,I hate it when my boss is standing over me. Why can't he mind his own business?,"I'm Atlas. What's your name, fucker?","OK, now clear your mind and relax...",GET A LIFE OF YOUR OWN!,"Correct, you're the personification of youth's unfulfilled promise. My turn. Am I American?",This job is really getting on top of me.,Two parallel processors are better than one.,I wish he'd roll off my head.
I can see your point.,"'Sorry, Officer. I missed the turnoff for the road less travelled.'","Again, Mr. Yeager, you’ve really gotta keep it under Mach 1.",I clocked you doing Mach 1. Minimum speed here is Mach 2.,I stopped you because both your tail lights are out.,How fast do you think you were going? And don't even try to mach me.,"Yah. Sure, pal. And I'm an UberCOP.",Have the need for speed do we?,Texting while operating a vehicle is illegal in this state.,I'm curious - is this the new hybrid model?
"So, what did you think of the election?",My name is Adam; may I call you Eve?,My 401k has taken a real hit this year.,This is why no one comes to Syria for vacation!,It's your fault for not voting.,Do you agree I was right about the results of the election?,This might sound like a stupid question but did you bring my haemorrhoid cream?,But he has almost completed the wall.,"'Well, that was unconventional.""","Shall we NOT go to the coffee shop, or NOT go to the bar?"
"I hear you, sister. We want them to be abstract, but they always turn out to be concrete.",We only need to be watered once a week.,I'd offer you a drink but it looks like you're tied up.,"""You wanted the drinks 'straight up', right?",I just love your tie,This is your last chance: fleshy with nutmeg elements or muscular with notes of clove?,"I'm a friend of Luca's. Do you swim with the fishes, too?",Your just bound to meet people here.,So Canada said no to your immigration application?,"Now, that's what I call a pre-existing condition!"
"We don't stand a chance, Otis, but we sure as hell will know how much it cost...",A legion of lawyers is scarier than an army of soldiers.,The King needs them to figure out his tax return.,I told you that team-building at the Renaissance Festival wouldn't go over well.,"I had no idea this is what the MBA brochure meant when it said, ""Pomp and Circumstance"" at graduation.","Yes, but replacing the Golden Horde with lawyers reduces our liability premiums by 15 percent.","What are these guys supposed to do, insure them to death?",Let's see the Huns crunch numbers with these guys!,the suit crusade,"First we kill, then we bury in paperwork."
Now all we need is the birds.,"I did well in the Bird course, but I can't date until I pass the Bees course, too.",Can't you see we're busy? Milton T. Jefferson,I can't think of a thing to say.,"you said ""let's spend our anniversary where we first met, honey""",Isn't this what you meant by hive mind?,WASP privilege,I'm really a prince. Kiss me and I'll be your honey bee and take you to a real swarm.,"Well, are you employed at least?",I work for her now.
"I enjoy how they act out the specials, Pizza with Papparazzi.",I think we forgot to tell them to hold the papparazzi.,"I hear the fettuccini is good, but the paparazzi is to die for.",I'm a vegetarian. I ordered some paparazzi with the pepperoni.,That's why they call it a paparazzi pizza.,"Though I never ordered a pizza, it looks like a great pizza is being thrust upon us.",He should have waited until we finished our salad.,They say the star of the restaurant is its service.,"If it's not here in 30 minutes or less, we're through.",I ordered the 'Elvis Lives.
I understand hairballs are now to be considered holy relics.,We lied. Your distant cousin is still king.,To think I gave up my nine lives in Trump Tower for this!,We never should have named him 'Tut'.,I guess I just thought once I hit my teenage years I would rule the house...,Hmmm....let them eat catnip,Do you prefer warmed milk or bottle water?,"Yes, we consider you a prince, but you gotta go on sale diet, Charles.",It kind of looks like this cartoon we're in was drawn by a cat.,"Oh, Brad, I'll so miss you after the beheading."
He got your nose completely wrong,When we adopted him they said he went to a Montessori school and that we should let him express himself.,My wife hired him to do a mural for the den.,He's part of the realist movement - the couple a few caves over recommended him,His psychiatrist told him to take up a hobby.,Nobody will know and we can get the credit,Let's come back later. These cave drawings tend to drag on.,Actually a hybrid. The famous Croc-Magnon.,I say we become his agents first. Then we break his legs.,Those are good but her watercolor primitives are the best.
Here’s our hostage. Let’s negotiate with its best friend now.,"No bone, no leash, no kennel? Does Earth think we’ve got a pet store in space?",Don't give me that look. It's Year of The Dog and the last leader wasn't much better.,"Speak, Buddy, Speak!",Dog gone doesn't mean I'm going to disappear.,This time the shadow Israel,You know I expect a treat for this,"Which way should we beam Rex this time to discourage him from coming back, Down?","Ruff! Ruff, ruff, arf, ruff, ruff.","What's that, Lassie? Timmy got abducted by aliens?"
"No, the wise man is further up. This is just a rest stop.","""Reservation for Edmund Hillary"".",Welcome to the tableau plateau.,You have reached the Apertif,Sorry but formal attire is required.,"Are you looking for enlightenment, or a light lunch?",Do you take bitcoins?,"I'm sorry, you should have made a reservation","I asked if you had a reservation, not if you have reservations.",Holy Moly! So there really is a mountain break!
Don't look so unimpressed–I'm a primitive artist.,Please turn a bit more to your left .... and stand still!,I'm sorry but this is your good side.,Objects in the mirror are smaller than they appear,"OK, so I'm not Picasso.",...and this marked the beginning of the Picasstone Age.,"'Oh,so now you're a critic!""","Sorry, it’s not me, the cave wall adds ten pounds !","Bigger, if I had more paint.",I think I need more light.
Call me Ishmael.,"Who said ""fish or cut bait?""","Nah, you can still read ""Trump""- toss it back.","Wow! The rubbish seems to have overtaken the fish ...""","Well, at least you're not fishing for compliments.","Sure, it catches stuff -- liasons dangereuses!",Whaddya use for bait?,Maybe it's from one of Trump's casinos.,That's a Titanic catch.,"My great grandfather used to actually catch Brown Trout in here back in the day, freaky, huh?!"
Anybody else getting kinda hot?,Ozone alert.,I think I need his fork for a better signal.,I hope we don't have to watch that again.,Fox News all the time.,I wish I checked if they had cable before signing up for eternity.,"Knowing this would be the outcome I think I still would have opted for ""Netflix and chill"".",“I saw the original. Having to watch it again in black and white is torture”.,Don’t worry. It’s probably just more ‘fake news’ from CNN.,"I could be wrong, but I don't think that's a Yule log...."
Jousting lessons are included with your purchase.,"You look dashing,sir.  Now,if you only had a heart!",It makes you look buffed.,The new border guard uniform.,You just tap your heels together to become a real S&P 200 President!,The sale's price includes a year's supply of  WD40 and Rustoleum.,"Wrong kind of knight, Alfred.","It has ""You"" written all over it, sir.",That's the look of a man with codfidence.,Sorry Fred.  You're getting canned.
Matryoshka and I lead a multi-layered life.,So I called in my daughters.  What of it?,Their parole officer wants them to wear ankle bracelets.,"These are my daughters.  They are ll,9,7,5,3,and 1 years old.",Wow- you are stacked.,"Now that we've lined them up, let's stack them.",We’re looking for a woman who can take her place alongside prior greats who have helped us develop our famous product line.,"As far as i'm concerned, it’s an open-and-shut case of impersonating an officer.","I searched them all for the murder weapon but all I found were other, smaller suspects.",Something's telling me it's an inside job
Don't tell Mom I'm playing hooky.,I was here Way before you!!!,Has your teacher told you about the benefits of whole life insurance?,I'm sorry Teddy..we'll let mom and dad come home soon but..remember..don't bring up the presidential election EVER again.,"Don't worry. You'll have a bigger one too, someday.",Who says we don't have a proper work-life separation?,My mommy said it was safe.,"Your turn . . . in a decade!  Neener, neener, neener!",You have to be taller than the third rung to use this ride!,Our teachers union sure knows how to negotiate fun!
Just trust me - we call it ‘the pyramid scheme’”.,And the hot dogs never spoil on a pyramid.  This one is from 1983.,You know the old Aztec joke about what hot dogs are made of?,I guess I'm supposed to sell these to you now? I don't know... might just be a pyramid scheme.,These taste just like the ones my mummy used to make when I was a kid.,I thought it came with a 20 oz soda,Can I get mustard on that.,"Well, it seems he misunderstood  'pyrimid scheme.'","Thank you, honey. 
My interest is piqued.",He says he always wanted to be Top Dog
Don't get cocky! Who knows what will happen when the clock strikes 12!,I told you that bachelor party video would come in handy one day.,"Yippee-ki-yay, Motherfuckers!","Very low carbon, except for the non-vegetarian thing.",Jerry won this time,"Now hand over your cheese, nice and slow!",Haven't you heard? Uber is downsizing.,Now we're working on the dressage training,"Last week's three caption finalists, were so bad, even my cat didn't want to see them.",When it comes down to it...they're just little pussies.
