0,1,2,3,4,5,6,7,8,9
I really just thought they would send me a lapel pin when I registered.,If he farts I'm out of here.,"Well, at least the 800-lb gorilla finally left.",I see it. Don't change the subject.,We're seeing the end of the Republican party.,The zoo won't pay the ransom. Now what?,Face it: 'Ms. Bigly' refuses to go with you to the Trump rally today!,It looked smaller online.,"Why can't you just wear a button, like most people?",Well SOMEONE clogged the toilet.
"Given Mr Tell's declining accuracy with his bow and arrow, we're lucky the guys don't use Apples.","Where exactly is Bethlehem, NY? Hmmm. Off the top of my head … 42°36'N 73°50'W in Albany County.",I liked it better when they were just little voices inside our heads.,I liked it better when the voices were inside my head.,It wouldn't be so bad if their printers weren't in our pants.,Are you thinking what I'm thinking?,Have your person contact my person.,I live in constant fear he will hit ctrl+alt+del,Don't you miss the days when we thought about sex?,Have your guy call my guy.
"Well, five acres of popcorn back there says you were.",So Major Tom... Do you know how fast you were going?,"Sir, I don't make the laws of physics I just enforce them.",I'm going to need you to take one small step out of the vehicle,"I don't make the laws of physics, sir. I just enforce them.","Sir, please take one small step out of the vehicle.","Take one small step out of the vehicle, sir.",You call it a glitch in the space-time continuum. I call it a stop sign.,I got you doing light in a sound zone.,If you stay below the speed of sound you'll hear the sirens next time.
I'd like to see other people.,"I know that look, you're not going to let this go.",I'd like to see other people.,What a delightful coincidence. I'm also recently single.,Maybe his second week will go better.,The corrupt media will blow this way out of proportion.,I want to start seeing other people...,Hopefully the president's second day in office will go a bit smoother.,"Oh, and I'm gay.",I wonder what Donald will do on his second day?
Our timeshare presentation will begin in about 5 minutes.,If you get a choice the East River is nice.,"Grammatically, indeed it IS sleep with the fish, not 'fishes'.",So Vito tells me you're leaving the organization.,How was your flight in on United?,Bob tells me you're reconsidering our offer.,So when are you two taking the plunge?,"Well, we did tell you it was your going away party!",I'm taking the bridge home--I'd be happy to drop you off on my way.,"when you said you were tied up, I assumed you wouldn't be coming."
Let's pick up the pace. They're billing by the hour.,Apparently they're experts in hostile takeovers.,We sue at dawn.,This time they'll know we mean business.,"Well, on the other hand, there is no fee unless we win.","Pillaging lasts a day, these guys will screw them for years!","We may have lost the battle, but we'll win the appeal.",The field will soon be littered with habeas corpuses.,...so I told the genie I wanted a hoard of the most ruthless and feared men from throughout history...,"You just had to say ""Run it by the lawyers"", didn't you?"
Don't blow my cover. I'm in the middle of a sting operation.,Ignore me and I'll go away.,Our parents won't approve; you're Jewish and I'm a Wasp.,Could be worse...I could be back at the White House doing press briefings.,I can't go. I've been elected queen.,"You still have two wishes left, right?",I got caught in a sting operation.,The doctor says it's the worst case of hives he has ever seen,I told you I had hives.,Hold on a sec. I need to buzz you in.
"Just for fun, let's send it back.",Did you order the pizza with extra paparazzi?,"The food is ok, but the media coverage is excellent.",And only last week he was the press secretary.,I ordered a large with paparazi.,"""Say, 'Cheese,' "" -Anna Ross, Santa Monica, CA (8 years old)",Looks like paparazzi pizza wasn't a typo after all.,"Don't worry, your wife'll never find out. Nobody ever comes here.",I hope you don't mind that I ordered extra paparazzi.,This is the last time we dine at Scaramucci's.
The truth is you came from a box of free kittens.,Get over yourself... it was ONE mouse!,Our estate planner wants to know if you would like your inheritance in a lump sum or spread out over nine lives.,"He does know the dog got more votes, right?",It doesn't mean you won't still be royalty. It just means there will be no heir.,The taxidermist really captured his personality.,"You see, ""reigning"" cats and dogs can have two different meanings ...",We're sorry we didn't think about your line of succession before we...you know.,"No, your majesty, eating the canaries was not what we meant when we asked you to stop the tweeting.",he just got his resuslts from ancestry.com
"He did my summer cave in Lascaux, too.","Well, he can kiss his security deposit goodbye.","Sure, drawing it is the easy part, it's the caption that's tough.",It will be worth even more when he's extinct.,"The way he tells it, we come out looking like a couple of Neanderthals.","We're totally taking credit for this later, right?","No one will believe this, not in a million years.",YOU tell him not to write on the walls.,Will the day ever come when you can just have a meal without posting it?,Nobody would believe that in a million years.
Mission accomplished. We will report that this planet's inhabitants are friendly and playful.,"When I said abduct the dog, I meant President Trump...","What is boy? A fire down by the old Jetson's house?""",Did you remember to take him out before we left?,"He agrees to a rectal probe, but only if we use our noses.","My research on tail movements suggests he has to “go,” but I haven’t been able to determine what that means...",These earthlings are more intelligent than I thought they’d be.,"Tap...tap, tap. What does the code book say?",Thank goodness there's at least SOME intelligent life down there.,"I just said ""come"" and he came."
We used to offer enlightenment. Then we discovered people really preferred brunch.,The path to true enlightenment is long and arduous. But you may wait at the bar.,Only you will truly know when your table is ready.,We don't have menus here. Everybody just gets what they deserve.,"My son, we all have reservations.","The Meaning of Life? Oh, that's just the name of the restaurant.","I have a one o'clock reservation, last name is Miller but I'm no longer a party of four.",Welcome to the Deli Lama.,"I know time is meaningless, but there is still a forty minute wait.",I can't seat you until you are fully present.
Trust me. One day your portrait will be used as the symbol of a political party even more primitive than we are.,I know what you're thinking -- don't quit hunting and gathering.,"Well, if you want a record of your existence, it’s either this or the tar pits.",You should have seen my parents when I told them I didn't want to be a hunter OR a gatherer.,"I'm calling it ""The Elephant in the Room""",It's SUPPOSED to be primitive!,"Don't worry, it's just a cave painting. No one will ever see it.",The drawing is the easy part. It's coming up with a caption that's tough.,It will be worth more when you're extinct.,How do you know it doesn't look like you?
"I can hear the wife now: ""You caught it, you clean it.""",Must be another Trump hotel that's underwater,I've finally caught something my wife will let me hang in the living room.,"""I hate fishing in the Hamptons"".",Too bad it's catch and release. My wife would love this.,We must be at Pier 1.,You're gonna need a nicer boat.,"Finally, something my wife will let me mount in the living room.",Those fish are having a ball down there.,Now I wish I hadn't thrown back that Chippendale table.
But before we head down... a short fire-safety video...,"No, this is Purgatory. Hell has FOX 24/7.",I wonder if he moved that pitchfork a little left would we get better reception?,"No, purgatory. In hell, it's Fox News 24/7.",It gets worse. The commercials are for air conditioning.,It's either this or the PBS pledge drive.,I didn’t know there would be an orientation video.,It's not really eternal - if you watch closely it's a forty-five minute loop.,I hear the 1% get real fire...,This is boring as hell.
She’ll appreciate you’re wearing protection.,Our welder comes in on Wednesdays if you’re interested in complimentary alterations.,It’s off the rack.  The guy on the rack doesn’t need it anymore.,It does make you look slightly middle-aged.,"Yes, of course you’ll have the only key, Mrs. Trump.","May I say, sir: quite riveting.","If you like it, I'd suggest going ahead before the steel tariffs hit.",Can I interest you in some Under Armour to go with that?,Perfect for a knight on the town.,LIMERICK: When buying a nice suit of steel...No matter how good it may feel...You do have to watch...If it's tight in the crotch...Cause it'll make you scream when you kneel.
