contest_number,image,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
536,536.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a therapist's office 
description: A self-driving car is lying on a therapist's couch, while the therapist, a woman with glasses, is taking notes. 
uncanny description: A car cannot lie on a therapist's couch and talk about its problems. 
entities: Self-driving_car, Therapist 
Generate a funny caption for the image: [/INST]","your patient starts 'speaking' in car language.""","your self-driving car comes in for a 'wheel alignment,' but it turns out they just needed to vent about their 'headlight issues.'""","your 'self-driving' car decides it needs emotional support.""","your self-driving car finally admits it needs therapy too.""","your client shows up a bit earlier than expected.""","your therapy session takes a turn for the 'wheel.'""","your vehicle confesses it's been feeling emotionally charged at every traffic jam.""","your patient turns out to have wheels instead of feet—it's always a curveball!""","your patient shows up early...and a little unconventional.""","your car's emotions start affecting your wellbeing."""
537,537.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a living room 
description: A person is sitting in a living room talking to another person. In the background, a large roll of paper is being delivered through an archway by a delivery person. 
uncanny description: It is unusual to have a giant roll of paper delivered to a living room. 
entities: Delivery_person, Roll_of_paper 
Generate a funny caption for the image: [/INST]","your interior design budget is more 'paper' than 'fabric'""","your neighbor's moving out and they promise it's just 'some personal items' but turns out it's an actual elephant.""","your neighbor's DIY home renovation project becomes your new wallpaper.""","your neighbor's party runs out of toilet paper, they really know how to throw a last-minute emergency 'roll'""","vering a whole new meaning to 'roll out the red carpet'.""","lling the News of the Century: When Your Couch Just Needs That Extra Push!""","just a regular day when the unexpected happens - a giant roll of toilet paper comes unraveled!""","your neighbor's DIY project goes sideways...""","r conversation was so engrossing, even the wallpaper couldn't join in!""","your new wall decor arrives looking like a roller coaster."""
545,545.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a conference room 
description: A group of business people are sitting around a large conference table in a high-rise office. There is a plant sitting in a chair at the head of the table. 
uncanny description: It is unusual for a plant to be sitting in a chair at a business meeting. 
entities: Business_people, Plant 
Generate a funny caption for the image: [/INST]","you realize your boss scheduled another 'team building' session.""","your boss asks you to 'bring something green' to the meeting.""","your boss asks why you're always late to meetings...""","your colleague brings their pet to the board meeting.""","your boss asks 'Who wants to go first?' and the only volunteer is Mr. Green Thumb.""","your boss's favorite employee finally shows up...""","your boss asks you to bring a 'plant' to a meeting...""","your boss decides it's 'bring your pet day'""","the boardroom gets a touch of nature's humor.""","your boss sends a 'plant' as their representative to meetings."""
550,550.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a large room with a piano 
description: A man is sitting alone in a large room with several empty chairs. At the front of the room, a person is playing a piano. The room is decorated with paintings and has a large window with a cityscape view. 
uncanny description: It is unusual for a person to be the only one in a large room while someone plays the piano. 
entities: Pianist, Audience_member 
Generate a funny caption for the image: [/INST]","your favorite artist finally releases their new album and you're the only fan who shows up.""","you realize your favorite song isn't on the setlist.""","your friends bail on movie night and all you're left with is a lonely concert.""","did the pianist refuse to play at the party? Because there was no audience - just one lonely chair!""","Lone Jazz Impresario: When your friends said they were 'pianoing off,' you took it literally.""","loneliest concert: where every note played echoes back an even more depressing silence.""","aps they're waiting for the encore performance of 'Chopsticks.'""","pianist's audience is waiting patiently for his encore performance... of sound.""","your friends flake out on you at the concert.""","concert was so bad, even the pianist's reflection left early."""
551,551.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: New York Harbor 
description: A group of people are rowing a boat in the ocean near the Statue of Liberty. A giant wave with a face is about to crash down on them. 
uncanny description: Waves don't have faces and don't appear to be alive. 
entities: Rowboat, Statue_of_Liberty, Anthropomorphic_wave 
Generate a funny caption for the image: [/INST]","your GPS insists you take the scenic route around Ellis Island...""","your family wants to enjoy a day out on the water and the sea decides to make a dramatic entrance.""","you realize you left your umbrella at home.""","even the Statue of Liberty is giving you the 'hang loose' sign.""","the 'Wave of Approach' becomes a literal wave!""","you realize the sea captain's name was 'Wavey' all along.""","your barista tells you they put 'light froth' on your latte.""","ooks like we're about to become 'The Sinking Lady!'""","your friend decides they 're gonna take the scenic route around the lighthouse.""","tide turned when 'Olly' decided he wanted his freedom too!"""
557,557.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: the Garden of Eden 
description: A man and a woman are standing in a lush garden. The woman is holding a steaming pie and offering it to the man, while a snake is coiled around a tree branch above them. 
uncanny description: Instead of an apple, the woman is offering a pie, which is anachronistic. 
entities: Adam, Eve, Snake, Pie 
Generate a funny caption for the image: [/INST]","s temptation gets a modern twist—if only the serpent could resist the aroma of freshly baked pie!""","Adam and Eve discovered the concept of 'baked goods' – before it got all twisted.""","'s first thought upon seeing Eve's 'forbidden fruit': 'I hope she didn't bake it herself!'""","and Eve's first date: 'I hope you like my pie, no apples allowed!'""","s got some biblical baking skills; Adam's just hoping she didn't put any forbidden fruit in this 'pie'""","and Eve reconsider the original sin - when temptation comes in the form of a flaky crust.""","'s first taste of temptation: 'I guess they don't have apple pie in paradise!'""","s latest culinary creation seems a bit 'rising,' but we all know how much snakes love apple pie!""","'s first taste of forbidden fruit... or was it pastry?""","'s first taste of human ingenuity—a tempting slice of 'forbidden fruit' pie!"""
558,558.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a nursery 
description: A baby is sitting in a crib, holding a baby monitor. The baby looks like they are trying to communicate through the monitor. 
uncanny description: Babies don't usually use baby monitors to communicate. 
entities: Baby, Crib, Baby_monitor 
Generate a funny caption for the image: [/INST]","your baby finally learns how to text from their crib.""","your sibling is hogging all the attention, but you're determined to make your presence known—even if it means using high-tech communication tools meant for adults.""","you realize your 'babysitter' is just another toddler with a secret language.""","your baby wants to order from room service without getting out of bed.""","the babysitter leaves and it's just you and your trusted co-conspirator against nap time.""","your babysitter is 'out sick' but you're not fooled.""","your first word doesn't make it past the baby gate.""","you realize your 'baby whisperer' app isn't working...""","the only way to reach your mom is through the high-tech baby intercom.""","your sibling's nap time is their only chance for social media interaction."""
561,561.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an undefined space 
description: Two dogs are facing each other with their heads inside a shared cone collar. 
uncanny description: It is unusual for two dogs to share a single cone collar. 
entities: Dogs, Cone_collar 
Generate a funny caption for the image: [/INST]","you've got twice the trouble but only half the treats.""","you're trying to figure out who gets the last bone but your vets have the final say.""","tails, one secret: 'Hey, whose cone is this?'""","your best friend steals your favorite bone.""","you're trying to split a secret sweet treat without sharing the details.""","you're trying to see the world from your doggy sibling's perspective.""","you're trying to keep one dog from hating on the other during playtime.""","your best friend steals your favorite bone.""","you realize you're both trying to hog the same TV remote.""","your best friend steals your favorite spot on the couch."""
564,564.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an office 
description: A woman is standing in front of a desk in an office. Behind the desk, a man is sitting with several owls lined up on the desk in front of him. 
uncanny description: It is unusual to see a man in an office with a group of owls on his desk. 
entities: Man, Woman, Owls 
Generate a funny caption for the image: [/INST]","your boss thinks 'team building' means literally building teams with feathered friends.""","your boss asks if you've 'seen any light lately,' and you're like, 'I guess it depends on how you define ""light""'.""","your boss brings out the 'owl' edition employee award...""","your boss wants you to 'bring home the bacon'—literally.""","your boss decides 'quiet' means being surrounded by a flock of nocturnal creatures.""","boss just got a 'hoot' new business plan.""","you ask your boss if he's seen your TPS reports and he responds, 'Just a moment...'""","your boss sends you a 'motivational' gift that just makes you feel like you're in Hogwarts.""","your boss requests 'a meeting with the wise ones'...""","your boss takes 'bird's eye view' way too literally."""
567,567.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a bedroom 
description: A man is standing next to a bed, talking to another man who is dressed in a suit and holding a briefcase and a coffee cup while still in bed. The man in the bed looks ready for work despite being under the covers. 
uncanny description: It is unusual for someone to be fully dressed for work and holding a briefcase while still in bed. 
entities: Businessman, Bed 
Generate a funny caption for the image: [/INST]","your boss texts you at 6 AM on a Saturday.""","your morning commute becomes a comical spectacle from the comfort of your own bed.""","your alarm clock is your boss.""","aining why 'Work From Home' doesn't always mean sleeping through meetings.""","your morning alarm calls from the other side of the world.""","ing rush hour at home: When your boss thinks 'working from bed' means 'literally lying in bed.'""","your alarm clock is just a polite suggestion.""","your alarm clock doesn't go off, so you just bring your office to bed.""","y bird gets the 'Wake Up'!""","your alarm clock goes off, but it's just another day of working from home."""
