contest_number,image,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
536,536.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a therapist's office 
description: A self-driving car is lying on a therapist's couch, while the therapist, a woman with glasses, is taking notes. 
uncanny description: A car cannot lie on a therapist's couch and talk about its problems. 
entities: Self-driving_car, Therapist 
Generate a funny caption for the image: [/INST]","your car starts speaking in riddles.""","your car needs a 'checkup'""","your car starts acting out, it's time for some emotional tuning!""","your self-driving car decides it needs a 'feelings checkup.'""","your car just needs a good talking-to.""","your patient turns out to have four wheels and no idea where it comes from.""","your patient decides they need more 'space'.""","your patient decides they need a 'test drive' session.""","your car starts to exhibit 'road rage' symptoms, it's time for a mental tune-up.""","even your car needs therapy."""
537,537.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a living room 
description: A person is sitting in a living room talking to another person. In the background, a large roll of paper is being delivered through an archway by a delivery person. 
uncanny description: It is unusual to have a giant roll of paper delivered to a living room. 
entities: Delivery_person, Roll_of_paper 
Generate a funny caption for the image: [/INST]","your new carpet turns out to be a never-ending supply of wallpaper.""","your new couch needs a little extra 'papering' before it fits perfectly.""","your new sofa arrives in the form of a never-ending supply of wallpaper.""","you accidentally order a lifetime supply of wrapping paper instead of just one sheet.""","your interior design order comes with a side of mystery.""","your office supplies order gets taken literally.""","your new wallpaper arrives and it's just one very long piece.""","you order wallpaper, but it's clearly a misprint.""","your new couch arrives, but it's a literal roll of fabric.""","you order 'wallpaper' from Amazon and this shows up at your door."""
545,545.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a conference room 
description: A group of business people are sitting around a large conference table in a high-rise office. There is a plant sitting in a chair at the head of the table. 
uncanny description: It is unusual for a plant to be sitting in a chair at a business meeting. 
entities: Business_people, Plant 
Generate a funny caption for the image: [/INST]","the CEO's favorite houseplant starts taking notes.""","your boss asks you to bring a 'lively touch' to the boardroom.""","you forget your boss's name during the presentation.""","even the plants have more authority than us.""","your boss insists on 'bringing a touch of nature' to meetings.""","your boss's idea of leading a discussion is being a silent, leafy chairmate.""","the agenda gets so dry it needs a watering hole.""","your boss decides they're ready for the next level of 'green meetings'.""","the boss says 'Let's hear from everyone,' but the real conversation starter is the unexpected guest in the corner.""","the boss plants a 'green' initiative."""
550,550.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a large room with a piano 
description: A man is sitting alone in a large room with several empty chairs. At the front of the room, a person is playing a piano. The room is decorated with paintings and has a large window with a cityscape view. 
uncanny description: It is unusual for a person to be the only one in a large room while someone plays the piano. 
entities: Pianist, Audience_member 
Generate a funny caption for the image: [/INST]","you show up fashionably late for a concert, only to realize everyone else got lost in traffic.""","pianist's one-man show: 'I just wanted to play my own tune!'""","pianist's dream concert: where every note echoes off an audience of none.""","world's quietest concert - where even the pianist prefers solitude.""","pianist's final performance before everyone realizes he's been their ride-share driver all along.""","pianist's hit single: 'Piano Solos for Lonely Rooms'""","pianist's symphony of solitude.""","you realize your solo performance is just a cat's audition tape.""","you realize you're at the wrong concert.""","your friends finally arrive for a concert they said would start at 8 PM..."""
551,551.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: New York Harbor 
description: A group of people are rowing a boat in the ocean near the Statue of Liberty. A giant wave with a face is about to crash down on them. 
uncanny description: Waves don't have faces and don't appear to be alive. 
entities: Rowboat, Statue_of_Liberty, Anthropomorphic_wave 
Generate a funny caption for the image: [/INST]","your team loses the paddleball game and 'the tide' makes a pun!""","your summer vacation turns into a sequel to 'The Old Man and the Sea.'""","your friend suggests taking a shortcut through 'Wavey Pete's Territory.'""","you realize your tour guide promised 'light waves' and now you're caught in 'The Great Crestfallen'!""","s like we're all aboard for the 'Wave-liner Express!' Just one more bump before disembarkation!""","your friendly neighborhood wave decides to join your boat tour.""","tide is turning out here! Looks like Old Man Wave wants his boat back!""","your GPS takes 'follow the waves' literally.""","your summer vacation takes a splashing turn.""","your tourist guide turns out to be more 'America' than you bargained for!"""
557,557.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: the Garden of Eden 
description: A man and a woman are standing in a lush garden. The woman is holding a steaming pie and offering it to the man, while a snake is coiled around a tree branch above them. 
uncanny description: Instead of an apple, the woman is offering a pie, which is anachronistic. 
entities: Adam, Eve, Snake, Pie 
Generate a funny caption for the image: [/INST]","and Eve's first taste of technology – 'Sorry, original sin was upgradeable!'""","'s first taste of temptation: 'Eve, did you say this pie was from the Tree of Knowledge? I thought that was an apple!'""","'s first bite: 'What did they put in this? Sin?'""","s sweet temptation: 'Adam, try this new variety of forbidden fruit – it's apple-less!'""","'s first thought after tasting Eve's famous 'Apple Pie': 'I didn't even know we had oven!'""",", I baked this pie from the fruits we picked earlier, but don't tell me you've already eaten the 'forbidden' slice!""","'s first question: 'How do you eat this thing? With your hands?'""","'s first taste of 'fallen fruit': 'I thought they said 'apple pie', not actual pie!'""","'s first taste of 'forbidden fruit,'"" Eve playfully offers, as she presents a delicious, steaming pie, only to have both her and Adam look on in shock at the unexpected twist to this classic tale.""","'s first taste of 'forbidden fruit' leads to a serious case of sweet tooth temptation!"""
558,558.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a nursery 
description: A baby is sitting in a crib, holding a baby monitor. The baby looks like they are trying to communicate through the monitor. 
uncanny description: Babies don't usually use baby monitors to communicate. 
entities: Baby, Crib, Baby_monitor 
Generate a funny caption for the image: [/INST]","your mom says it's time for bed and you're like, 'Can we negotiate?'""","your babysitter doesn't take your 'cute' selfie requests seriously.""","your baby wants to order pizza from the crib without anyone noticing.""","your mom tells you 'no snacks before bedtime' and you're desperate for a midnight M&M run.""","your nap time is interrupted by your own tantrum.""","your parent insists on sleeping in another room and you're like, 'Hello? Can you hear me?'""","the babysitter forgets her phone and you're left to your own devices.""","your nap time is interrupted by a sibling's shenanigans.""","your baby wants to make a surprise announcement but has already used their 'baby voice' on the sitter.""","your baby starts doing stand-up comedy from their crib - 'Why did the cookie crumble? Because it was afraid of the butter!'"""
561,561.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an undefined space 
description: Two dogs are facing each other with their heads inside a shared cone collar. 
uncanny description: It is unusual for two dogs to share a single cone collar. 
entities: Dogs, Cone_collar 
Generate a funny caption for the image: [/INST]","you're trying to maintain the 'new dog' look and your sibling wants in on the action.""","sibling rivalry meets pet parent forgetfulness.""","uble dose of cuteness—or maybe they're just trying to see if they have 'two heads'""","you're trying to share a secret so badly that even your cone collars won't keep it hidden.""","they found out they were related, they decided to share one 'cone' moment.""","the 'best' friends collide, even their cones have to agree.""","your best friend's surgery cuts both ways.""","your bestie's doggy breath gets even more irresistible.""","your best friend's surgery makes them temporarily less attractive.""","sibling rivalry meets pet health precautions."""
564,564.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: an office 
description: A woman is standing in front of a desk in an office. Behind the desk, a man is sitting with several owls lined up on the desk in front of him. 
uncanny description: It is unusual to see a man in an office with a group of owls on his desk. 
entities: Man, Woman, Owls 
Generate a funny caption for the image: [/INST]","your boss finds out you've been moonlighting as a wildlife rehabilitator.""","your boss brings in their latest 'team-building' initiative.""","your boss asks you to bring in 'a little inspiration' for the next meeting.""","your boss thinks 'business casual' means 'owl couture'"" - JoeDator","your boss asks for 'owl-inspired' team-building activities.""","your boss tells you 'Bring me something out of the ordinary'...""","your boss asks you to 'bring in a unique touch to our team spirit'.""","your boss asks you to 'bring in your team' and you just got promoted.""","your boss asks 'What's new?' and you say 'Just picked up these adorable board members!'""","your boss finds out you've been 'pigeonholed' into managing avian resources."""
567,567.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a bedroom 
description: A man is standing next to a bed, talking to another man who is dressed in a suit and holding a briefcase and a coffee cup while still in bed. The man in the bed looks ready for work despite being under the covers. 
uncanny description: It is unusual for someone to be fully dressed for work and holding a briefcase while still in bed. 
entities: Businessman, Bed 
Generate a funny caption for the image: [/INST]","y morning meetings have never been so cozy.""","your alarm clock doesn't wake you up in time for work.""","y risers have nothing on this 'morning commute'.""","ing Meeting: Now from the comfort of your own bed.""","your morning commute consists entirely of pressing snooze.""","early bird catches the worm—and the first train home.""","ing Commute: Saved Time Edition""","your alarm clock fails and you've got a major meeting to attend... 'Morning commute: Redefined.'""","'Wake Up Early' means waking up at noon.""","your morning commute is just three steps from your pillow."""
573,573.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a hospital room 
description: A man is lying in a hospital bed with large headphones or a strange device on his head. A woman is sitting next to him, looking concerned. 
uncanny description: The device on the man's head is unusually large and not typical medical equipment. 
entities: Patient, Concerned_woman, Unusual_medical_device 
Generate a funny caption for the image: [/INST]","your favorite podcast becomes your lifeline.""","the music therapy turns into a heavy metal concert.""","your doctor's 'special' treatment includes an industrial-grade music festival experience.""","you realize the 'revolutionary' new treatment involves listening to your own snoring.""","your doctor's new 'Sound Healing Therapy' takes things a bit too literally.""","the 'sound of silence' becomes literal.""","the cure is louder than your last album release.""","your doctor suggests 'sound therapy,' but you're more of a visual learner.""","your music player becomes a life-saver.""","your music therapist insists on a 'quiet' session."""
574,574.jpg,"[INST]  I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will provide a cartoon image with descriptions and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
image: <image> 
scene: a balcony 
description: A man and a woman are standing on a balcony. The man is holding a spatula and looking at a photocopier as if he is grilling something. The woman is holding a drink and looking at the man. 
uncanny description: The man is using a photocopier as if it were a grill. 
entities: Man, Woman, Photocopier 
Generate a funny caption for the image: [/INST]","your backyard barbecue gets a little too... indoor.""","your significant other tries to 'grill' dinner but really just wants to make copies of their life.""","ling the classics: When your 'barbecue' machine turns out to be a photocopier.""","your BBQ skills need a refresh—literally!""","your date suggests 'grilling' but there's no barbecue in sight.""","your barbecue skills aren't up to par, you photocopy your food.""","your indoor barbecue plans don't go according to 'grill.'""","the BBQ is broken, the photocopier makes a mean steak.""","you're trying to impress your date by 'grilling' dinner from paper documents.""","your backyard BBQ gets a little 'too lit,' and your building's rooftop comes to the rescue."""
