contest_number,info,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
536,validation,"scene: a therapist's office 
description: A self-driving car is lying on a therapist's couch, while the therapist, a woman with glasses, is taking notes. 
uncanny description: A car cannot lie on a therapist's couch and talk about its problems. 
entities: Self-driving_car, Therapist 
funny caption:",When you realize your therapy session just turned into an AI summit,It's not every day you see a car in therapy.,I guess we can call it 'talking therapy for machines',"It's not my job to fix your circuits, but I'll do my best.",When you realize that your car can talk to people but can't tell them how much it hates being stuck in traffic.,"So, I heard you had some issues with your brakes...","You didn't think I was capable of therapy without wheels, did you?","When your car can't drive itself anymore, it comes to therapy",It turns out that therapy isn't just for humans anymore.,I don't know what to make of this situation but I'm sure it has something to do with my anxiety.
537,validation,"scene: a living room 
description: A person is sitting in a living room talking to another person. In the background, a large roll of paper is being delivered through an archway by a delivery person. 
uncanny description: It is unusual to have a giant roll of paper delivered to a living room. 
entities: Delivery_person, Roll_of_paper 
funny caption:",I guess they're trying to say 'big things come in big packages' but I think they meant it literally,Looks like we're having a paper party!,We were having a deep conversation about the meaning of life when a delivery person interrupted us with this massive paper roll.,It's just me and my endless paperwork.,When your neighbors surprise you with a massive package delivery,Why did the roll of paper cross the road? To get to our house!,"Why did the delivery man bring a piano? I don't know, but he certainly made my day.",Just had a huge paper party at my house! Who needs a pool? #papertime,Just received my monthly newspaper subscription... as a giant roll of paper.,Looks like we're having a party! (And I guess someone forgot their invitation)
545,validation,"scene: a conference room 
description: A group of business people are sitting around a large conference table in a high-rise office. There is a plant sitting in a chair at the head of the table. 
uncanny description: It is unusual for a plant to be sitting in a chair at a business meeting. 
entities: Business_people, Plant 
funny caption:",Is that...a plant?!,We have invited nature to join our discussion.,"We may be discussing strategies and budgets, but it's clear that this plant is the real boss.",When your boss invites you to a 'plant' meeting,When you realize your boss isn't coming to the meeting and it's just you and the plant.,Looks like someone's taking the lead role in this meeting.,When you say 'let's hear from the plants',Looks like we have an extra attendee! #plantmeeting,Nature's CEO is taking charge of this meeting.,Looks like our next meeting has already been botanized.
550,validation,"scene: a large room with a piano 
description: A man is sitting alone in a large room with several empty chairs. At the front of the room, a person is playing a piano. The room is decorated with paintings and has a large window with a cityscape view. 
uncanny description: It is unusual for a person to be the only one in a large room while someone plays the piano. 
entities: Pianist, Audience_member 
funny caption:",I'm not sure what's more awkward - being the only one at a concert or playing the piano alone in a big room.,The pianist is the only one left in this world.,The ultimate concert for your solo self,When you're the only one at a concert,"It's not every day you get to play the piano with an audience of... well, just me.",The loneliest concert ever,Looks like the pianist was trying to make some noise but no one showed up.,This is the soundproof music hall for people who don't want to hear themselves play.,I guess you could say it was an empty concert hall.,"Wow, I guess the concert was over early."
551,validation,"scene: New York Harbor 
description: A group of people are rowing a boat in the ocean near the Statue of Liberty. A giant wave with a face is about to crash down on them. 
uncanny description: Waves don't have faces and don't appear to be alive. 
entities: Rowboat, Statue_of_Liberty, Anthropomorphic_wave 
funny caption:",We told her it was just a little choppy.,When you realize that water doesn't care if you live or die.,We didn't know we were getting into an aquatic horror movie,"When you said we were going out for some waves, I didn't expect this.","When you thought it was just another day at the office, but then an anthropomorphic wave appeared out of nowhere.",Looks like they forgot to check for tides.,When you finally get your hands on that big fish in the lake but it turns out to just be a giant wave with a face.,They should have known not to mess with Mother Nature!,"We were having so much fun in our rowboat until we saw the wave coming towards us. 'Oh wait, that wave has a face?' #RowBoatAdventures",The only thing more terrifying than the sea was the captain of our rowboat
557,validation,"scene: the Garden of Eden 
description: A man and a woman are standing in a lush garden. The woman is holding a steaming pie and offering it to the man, while a snake is coiled around a tree branch above them. 
uncanny description: Instead of an apple, the woman is offering a pie, which is anachronistic. 
entities: Adam, Eve, Snake, Pie 
funny caption:",When you realize that the Garden of Eden was actually just a potluck party with some really bad music,Adam and Eve's first date went sour when they realized their new home was crawling with snakes and Eve brought over her mom's famous pecan pie.,Looks like Adam's not getting his daily dose of fiber today.,It's not every day you get offered a cherry pie from a talking snake.,A classic 'you're-a-liar' moment in the Garden of Eden.,Why did Adam refuse Eve's offer? Because he didn't want to eat her apple pie!,When you finally realize that fruit isn't your only option.,Adam finally found his inner baker!,"When you said 'I want a piece of that', I didn't expect it to be a literal piece.",When you thought the story of Adam and Eve couldn't get any weirder.
558,validation,"scene: a nursery 
description: A baby is sitting in a crib, holding a baby monitor. The baby looks like they are trying to communicate through the monitor. 
uncanny description: Babies don't usually use baby monitors to communicate. 
entities: Baby, Crib, Baby_monitor 
funny caption:",I just realized I have been talking to my baby for 2 hours on their baby monitor and they haven't responded yet.,When you need a phone but can't reach it.,When you need an extra voice in your head to tell you if the cat's okay.,When you finally learn how to talk but you're still too afraid to say anything,Looks like this little one has already mastered the art of parenting,When you accidentally left your phone at home and now you have to rely on your baby's tech skills,Looks like this baby got their own personal assistant.,When you have an only child and try to teach them how to use a baby monitor,When you think you can handle being a parent until your baby starts talking and then they have their own way of communicating,"Wow, this kid has big ambitions for their first day of life."
561,validation,"scene: an undefined space 
description: Two dogs are facing each other with their heads inside a shared cone collar. 
uncanny description: It is unusual for two dogs to share a single cone collar. 
entities: Dogs, Cone_collar 
funny caption:","They’re not twins, they just have the same taste in collars.",I'm sorry guys but I can only love one of you at a time,Two dogs in one cone collar? That's just bark-ing mad!,It's like they're sharing a kiss,"""Two birds of a feather..."" but these are just two mutts in a cone collar!","It's like they said, 'Two can play fetch.'",You better watch out for these double-barreled pups! They've got the whole world in their cone-sideration.,It's like they're saying 'We may have different fur but we can still bond over our love of being the center of attention.',“I guess I’m getting a little too friendly”,Sisters before Misters
564,validation,"scene: an office 
description: A woman is standing in front of a desk in an office. Behind the desk, a man is sitting with several owls lined up on the desk in front of him. 
uncanny description: It is unusual to see a man in an office with a group of owls on his desk. 
entities: Man, Woman, Owls 
funny caption:",Looks like someone's got their own personal owl-inventory team.,When you finally get that promotion and the boss assigns you your own personal owl assistant.,When you said 'bring your whole team' I didn't expect owls.,Looks like this guy has a hoot of a boss.,Looks like I'm working with some hootie and tootie!,Is this an owl-licious meeting or just me?,It's just me and my feathered friends at work.,Looks like we have a new boss at work! He's quite the bird.,Why do you have so many owls? Is it because you have 'owl-ternative' ideas?,Looks like this guy has a hoot of a boss.
567,validation,"scene: a bedroom 
description: A man is standing next to a bed, talking to another man who is dressed in a suit and holding a briefcase and a coffee cup while still in bed. The man in the bed looks ready for work despite being under the covers. 
uncanny description: It is unusual for someone to be fully dressed for work and holding a briefcase while still in bed. 
entities: Businessman, Bed 
funny caption:",I guess they call this 'work from bed' now!,Just a regular day at the office,I guess they call this 'working from bed',Good morning Mr. Coffee Cup! You look ready for work today.,"Good morning, Mr. CEO! Are you sure about this whole 'work from home' thing?",Looks like this guy took 'work from home' to a whole new level.,I guess this is what they call 'dressing for success' from bed!,"The early bird gets the worm, but the late night owl gets the promotion.",Early bird gets the worm but it turns out early bird also gets an alarm clock and a boss.,"When you said you'd be late, I didn't expect you'd be on time."
573,validation,"scene: a hospital room 
description: A man is lying in a hospital bed with large headphones or a strange device on his head. A woman is sitting next to him, looking concerned. 
uncanny description: The device on the man's head is unusually large and not typical medical equipment. 
entities: Patient, Concerned_woman, Unusual_medical_device 
funny caption:",When you have your own personal AI assistant but it keeps telling you to get off the couch,"I don't know what this thing does, but I'm pretty sure it's making my brain explode.",I guess they call this the 'Brainwave' treatment,I guess this means I'm officially a 'cyborg',Looks like someone has been bitten by the big data bug.,I didn't know I could listen to music and get better at the same time!,"When you said 'I need an upgrade', I didn't expect this.","Wondering why he's wearing such big headphones at the hospital? Well, it's not just music. He's trying to communicate with extraterrestrial beings from space.",When you thought your doctor was going to give you a regular checkup but ended up with an alien probing your brain.,When you finally get that 'Mind Meld' upgrade for your brain
574,validation,"scene: a balcony 
description: A man and a woman are standing on a balcony. The man is holding a spatula and looking at a photocopier as if he is grilling something. The woman is holding a drink and looking at the man. 
uncanny description: The man is using a photocopier as if it were a grill. 
entities: Man, Woman, Photocopier 
funny caption:",The ultimate way to cook dinner,When you need to make copies but don't have a barbecue.,Why don't we ever use our phones to call people anymore? Because they have too much paperwork.,When you're too lazy to go to the kitchen but still need a sandwich,"We're not sure how well this will work, but we'll give it a try.",When you realize that your boyfriend thinks his photocopier is a grill,When your wife asks why you're making copies of her favorite sandwich,"Say what? I'm not cooking a sandwich, I'm making a copy of my resume!",Today we're making copies of burgers,I guess you could say we're having a 'copy-grilled dinner'
586,validation,"scene: a park or outdoor area 
description: A couple is walking their dog on a sidewalk. Above them, a giant vacuum cleaner is flying in the sky, with its hose extended downward. 
uncanny description: Vacuum cleaners don't fly in the sky. 
entities: Couple, Dog, Vacuum_cleaner 
funny caption:",We were having a great day at the park until this flying vacuum cleaner ruined it.,I never realized how much our dogs resemble giant vacuum cleaners until I saw this flying one.,I guess this is what they call 'sucking it up'.,Sweeping away life as we know it,Why did the vacuum cleaner go to the park? To sweep away all of the dirt and dust.,Sweeping away life as we know it,I don't think our dog has ever seen anything like this before!,"Flying through the air, we encountered our worst fear - a vacuum cleaner!",I guess you could say we had a 'clean sweep' today,When you thought this subreddit couldn't get any weirder.
