contest_number,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
536,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a therapist's office 
description: A self-driving car is lying on a therapist's couch, while the therapist, a woman with glasses, is taking notes. 
uncanny description: A car cannot lie on a therapist's couch and talk about its problems. 
entities: Self-driving_car, Therapist 
funny caption:",Why did the car go to therapy? Because it had a bad case of road rage!,What do you mean you're having trouble finding parking? You have an AI assistant that knows where you're going!,So it turns out my existential crisis was all just a software glitch.,"I told my therapist I had trouble making decisions. He said 'Well, have you considered asking your car?'","Well, it seems my client is having trouble finding its own way.","So, how does it feel being stuck in traffic therapy?","Well, it looks like my patient has hit the brakes on their feelings.",What do you mean you have a 'self-driving' problem? When did you last take a human behind the wheel?,"The car had trouble connecting emotionally, but the therapist found ithilic.",What do you say when your client is a car? 'You need to work through this autonomy issue.'
537,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a living room 
description: A person is sitting in a living room talking to another person. In the background, a large roll of paper is being delivered through an archway by a delivery person. 
uncanny description: It is unusual to have a giant roll of paper delivered to a living room. 
entities: Delivery_person, Roll_of_paper 
funny caption:",It's all going downhill from here.,"It's not every day that you receive a giant roll of paper in your living room, so it's no wonder that everyone is staring.",It looks like we just got our official sheet,What's all this? Iers. I guess someone wanted to write their own story.,The delivery guy thought it was just a regular package until he saw the size.,"It's not every day that you receive a roll of paper big enough to take up your entire living room. Thankfully, it came with its own personal assistant.",It's not every day that a paper party comes to your doorstep,Looks like someone just got served with a large dose of paperwork.,Why did the delivery person bring a phonebook to my living room? To fill the void.,It's like something out of a Hitchhiker's Guide to the Galaxy
545,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a conference room 
description: A group of business people are sitting around a large conference table in a high-rise office. There is a plant sitting in a chair at the head of the table. 
uncanny description: It is unusual for a plant to be sitting in a chair at a business meeting. 
entities: Business_people, Plant 
funny caption:",Why did the plant out their boss? Because they were tired of always being stuck in the weeds.,Looks like we have our own 'green' agenda.,The newomatic technology is thriving in this meeting!,This plant washired for its excellent presentation skills.,Looks like we have a new member on our team. He's got green thumbs and he'll make sure our meetings stay well-watered.,It's clear this plant is well-versed inspeak.,It's clear this company is rooted in success.,It's clear who's calling the shots in this meeting.,The new CEOers have taken over.,This meeting was plantain business.
550,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a large room with a piano 
description: A man is sitting alone in a large room with several empty chairs. At the front of the room, a person is playing a piano. The room is decorated with paintings and has a large window with a cityscape view. 
uncanny description: It is unusual for a person to be the only one in a large room while someone plays the piano. 
entities: Pianist, Audience_member 
funny caption:",Looks like the pianist was waiting for an audience but forgot how to make friends.,The pianisted everyone else out of the room.,The pianisted the audience.,The pianisted everyone out of the room.,It's hard to find an audience when it's just you and the pianist.,It's like an awkward concert at your friend's house.,It's hard to believe that no one else showed up to hear this pianist.,The pianisted the audience.,The pianisted the audience.,The pianist show
551,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: New York Harbor 
description: A group of people are rowing a boat in the ocean near the Statue of Liberty. A giant wave with a face is about to crash down on them. 
uncanny description: Waves don't have faces and don't appear to be alive. 
entities: Rowboat, Statue_of_Liberty, Anthropomorphic_wave 
funny caption:","Well, it was definitely a rough ride. But at least we got a front-row seat to the next big thing.",Well it looks like we have a celebrity aboard! Looks like the Wave of Fame is coming our way.,It's not everyday you get hit by a Waveface!,It looks like they justsied their way into the Statue of Liberty!,Thesauruss!,It looks like they forgot to check the tide before embarking on their adventure.,Well it looks like they hit an American wave!,Wave? More like 'Ways.',It must have been thesismic seaweed.,It turns outsiders really are trying to break us apart.
557,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: the Garden of Eden 
description: A man and a woman are standing in a lush garden. The woman is holding a steaming pie and offering it to the man, while a snake is coiled around a tree branch above them. 
uncanny description: Instead of an apple, the woman is offering a pie, which is anachronistic. 
entities: Adam, Eve, Snake, Pie 
funny caption:",It's always nice when someone brings you a 'fruitful pie.',Looks like God's recipe book got mixed up.,It's always nice to have a little something sweet after a long day of sinning.,Eves a great baker! But she'll do anything for a bite.,"Adams, Eve wants to make up for her eating disorder by giving him a whole lotta crust!",The first fruit offering went straight to her head!,"Sometimes you just gotta take a bite of temptation, even if it's out of season.",Adams Eve had a great time eating pie at the day.,Eves Eve! Look out for the serpentine salesman peddling pies in paradise.,"Adams Eve: 'Hey, wanna try some of this forbidden fruit?'"
558,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a nursery 
description: A baby is sitting in a crib, holding a baby monitor. The baby looks like they are trying to communicate through the monitor. 
uncanny description: Babies don't usually use baby monitors to communicate. 
entities: Baby, Crib, Baby_monitor 
funny caption:",It turns out babies can talk after all... through their baby monitors.,"The baby was so bored in their crib, they had to resort to long distance communication.",The baby knew it was getting outsmarted by technology. Theyman. #babytech,The baby was just trying tos-peak into their monitor.,"It turns out babies have been using baby monitors all along, just communicating in code.",It turns out babies have been lying to us all along. They just didn't want to admit it until now.,It turns out babies have their owna phone,It turns out babies have their owna Peanuts reference,The only thing this baby wants to hear is 'It's time for naptime!',"The crib was so quiet, it was like the baby was trying tosick."
561,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: an undefined space 
description: Two dogs are facing each other with their heads inside a shared cone collar. 
uncanny description: It is unusual for two dogs to share a single cone collar. 
entities: Dogs, Cone_collar 
funny caption:","It's like they said, 'two's company, one cone collar!'","You would have thought they were siblings, but it turns out they just had too much nose!",Their bond was truly barktastic.,It's like they're saying 'Two heads are better than one...or two cones?',This dog duo took commitment to a whole new level by sharing their cone collar - but it's unclear whether they're sharing more than just accessories.,It's like they have joined forces to become one big furry nose!,When you realize you've been wearing your neighbor's shirt all day,"It's like they said, 'Sharing is caring... and wearing matching hats!'","Two dogs, one collar... and no chance of getting separated!",When two dogs become one.
564,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: an office 
description: A woman is standing in front of a desk in an office. Behind the desk, a man is sitting with several owls lined up on the desk in front of him. 
uncanny description: It is unusual to see a man in an office with a group of owls on his desk. 
entities: Man, Woman, Owls 
funny caption:",It's always nice when your boss gives you a team of wise advisors to consult with.,It's amazing how much productivity these guys bring.,It's not everyday you encounter an owlomancy consultant in the workplace.,It seems this man hashooted his way to success.,The only way this meeting would have been better was if it had taken place at night.,It's no wonder he's such an excellent manager. He's surrounded by wise advisors.,"When you said 'bring your whole team' to the meeting, I didn't expect you to bring along your feathery advisors.","It's clear he's the boss around here, but why does he have such an owl-ish staff?",It's clear this man is an expert in birdology.,It's no wonder this company has been going through some rough times. They have a team of owl consultants.
567,"[INST]I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters.  Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct.  It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon[/INST] 
scene: a bedroom 
description: A man is standing next to a bed, talking to another man who is dressed in a suit and holding a briefcase and a coffee cup while still in bed. The man in the bed looks ready for work despite being under the covers. 
uncanny description: It is unusual for someone to be fully dressed for work and holding a briefcase while still in bed. 
entities: Businessman, Bed 
funny caption:",This is how you do multitasking: business from bed!,Looks like this guy takes his job seriously...even when it comes to hitting snooze.,The early bird gets the worm...and also wakes up at 6am for meetings.,The early bird gets the worm...and an extra hour to hit snooze.,The early bird gets the worm...but also the most uncomfortable commute.,Why did the businessman refuses? He didn't want to wake up before noon!,Why do businessmen always sleep so deeply? They're used to working from bed.,Looks like this guy is really committed to his job... even from under the sheets!,It's the early morning commute... but in bed.,It's amazing how this businessman never sleeps on the job.
