contest_number,info,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
536,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a therapist's office 
 description: A self-driving car is lying on a therapist's couch, while the therapist, a woman with glasses, is taking notes. 
 uncanny description: A car cannot lie on a therapist's couch and talk about its problems. 
 entities: Self-driving_car, Therapist <> 
 funny caption: [\INST]","When the self-driving car feels lost at sea, it heads to the therapist's couch.",It's amazing how much better therapy goes when it involves less talking.,I guess this therapist specializes in automotive anxiety.,"It's not my fault I keep driving into the same pothole, it's the road ahead that keeps changing!","""When therapy goes off the road."" ","Well, it looks like this car needs some adjustments in its programming. Maybe it should have been designed to drive around a therapy session instead of the city.","The therapist asked the self-driving car how it was feeling today, and it replied 'I'm feeling autonomous.'","When a car wants to work through its issues, it heads to the therapist's office... but only when it knows how to drive itself.",It turns out that therapy isn't just talking things through anymore - now it involves listening to a car's engine roar.,Why don't self-driving cars ever have existential crises? Because they always know where they stand... literally.
537,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a living room 
 description: A person is sitting in a living room talking to another person. In the background, a large roll of paper is being delivered through an archway by a delivery person. 
 uncanny description: It is unusual to have a giant roll of paper delivered to a living room. 
 entities: Delivery_person, Roll_of_paper <> 
 funny caption: [\INST]","It's not every day you get a large roll of paper delivered to your living room, but today is that day! And lucky for us, it's just in time for our next big project.","""I've been waiting for my reams to arrive!"" (Explanation: The phrase ""reams"" refers to a unit of measurement used for paper. By saying ""my reams,"" the person implies that they were expecting to receive paper and that it arrived in a very unexpected way.)","""Looks like someone's trying to wrap up their life in one big bow.""",Why did the delivery person bring his violin? To play a symphony for the paper's unwrapping!,"It's like they said, 'Big things come in big packages.' Except instead of a package, it's a giant roll of paper.",Looks like someone's finally found a way to get rid of all their old textbooks.,"It's like having a party without any music, just lots of paper dancing.",It looks like the delivery guy accidentally brought over a library.,It seems like someone's trying to make a statement.,"When your boss sends you on a mission to deliver papers to a client's home, but they forget their house number."
545,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a conference room 
 description: A group of business people are sitting around a large conference table in a high-rise office. There is a plant sitting in a chair at the head of the table. 
 uncanny description: It is unusual for a plant to be sitting in a chair at a business meeting. 
 entities: Business_people, Plant <> 
 funny caption: [\INST]",What's this? A new line item on the agenda - 'Plant's Opinion.',Why did the plant attend the meeting? To sprout some new ideas!,Why did the plant attend the business meeting? Because it wanted to grow its roots in success!,"""What do they call it when the plant takes over the boardroom?""","I must say, this meeting has been a real rootful affair.","The meeting was all bark, but the plant had plenty of leaves.","Why did the plant cross the road? To attend a high-stakes meeting. But it wasn't prepared for all the cutthroat competition. When someone asked for a vote on a new strategy, the plant said 'I abstain', but everyone thought it meant 'I abstain from voting, and instead take over the company.'","""Planting seeds of success - these guys know how to grow their own competition.""",The new trend in corporate meetings? Sitting in silence with your leafy boss.,Why did the plant attend the meeting? To show its green thumb for leadership!
550,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a large room with a piano 
 description: A man is sitting alone in a large room with several empty chairs. At the front of the room, a person is playing a piano. The room is decorated with paintings and has a large window with a cityscape view. 
 uncanny description: It is unusual for a person to be the only one in a large room while someone plays the piano. 
 entities: Pianist, Audience_member <> 
 funny caption: [\INST]",The pianist must have really bad breath because they're the only one in this room without any seats.,The pianist's lonely serenade was drowned out by the sound of the audience member's snoring.,When you're the only one at a piano recital.,The pianist was giving a solo performance...to an audience of one.,The pianist was so good at playing the piano that it attracted all the ghosts from the nearby graveyard.,"Piano lesson for one? Well, at least it's quiet.",The pianist was playing for an audience of one... and even he looked lonely.,It's hard to find a more solitary musician than this guy.,Looks like the pianist has an audience of one...and it's hard to say who's the more lonely.,"Piano player's performance was so bad, even the empty chairs couldn't stand it."
551,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: New York Harbor 
 description: A group of people are rowing a boat in the ocean near the Statue of Liberty. A giant wave with a face is about to crash down on them. 
 uncanny description: Waves don't have faces and don't appear to be alive. 
 entities: Rowboat, Statue_of_Liberty, Anthropomorphic_wave <> 
 funny caption: [\INST]","Just when you thought New York Harbor couldn't get any more chaotic, a wave with a personality crashes down on these unsuspecting oarsmen.",It looks like they're going to take the oath of allegiance from Old Man Wave.,Looks like they just found out that Statue of Liberty isn't really free.,Looks like they just got hitched!,It seems the Statue of Liberty has decided to give these immigrants a taste of home.,They must have been high when they thought it was a good idea to go sailing through the eye of the kraken.,"""Looks like they found their new captain.""","The rowers were just hoping for a smooth ride, not a tsunami with a personality crisis.",It seems the wave has taken a liking to their boat.,"Wave, it's great to see you again! I was wondering how long it would take you to finally show up."
557,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: the Garden of Eden 
 description: A man and a woman are standing in a lush garden. The woman is holding a steaming pie and offering it to the man, while a snake is coiled around a tree branch above them. 
 uncanny description: Instead of an apple, the woman is offering a pie, which is anachronistic. 
 entities: Adam, Eve, Snake, Pie <> 
 funny caption: [\INST]",Adam's first taste of sin was a slice of cherry pie.,Adam couldn't resist temptation...or the aroma of freshly baked apple pie.,"Adam took one bite out of the pie, and suddenly he knew why he couldn't find his way back to the Garden of Eden.",Adam couldn't resist temptation... ...but he sure had a sweet tooth.,Adam took one bite outta that apple... but he couldn't resist the temptation of Eve's delicious pecan pie!,"Adam was always one for a sweet temptation, but Eve's pie offer proved to be more enticing than even he could resist.","Adam's sweet temptation: A snake-in-the-pie, Eve tries to seduce him with her baked goods.",Adam couldn't resist temptation... even though he didn't know how to make pie.,"Adam took a bite out of love, and now he's feeling like a snake charmer.","Eve says, 'Look honey, I found the recipe for the original sin!'"
558,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a nursery 
 description: A baby is sitting in a crib, holding a baby monitor. The baby looks like they are trying to communicate through the monitor. 
 uncanny description: Babies don't usually use baby monitors to communicate. 
 entities: Baby, Crib, Baby_monitor <> 
 funny caption: [\INST]",It's no wonder he had trouble sleeping when he was using his phone as a nightlight.,"""The baby was trying to figure out how to text their friends from inside the crib."" ",It seems like this baby is trying to start a new trend: 'Baby Talk via Baby Monitor'. #babytalkviaheadphones,The baby was just trying to find out who their favorite superhero was by asking Siri.,Why did the baby bring their phone to bed? To get a better signal on their baby monitor!,It turns out babies are just really good at using technology to avoid eye contact.,It turns out babies have their own reality TV shows now.,Looks like someone just found their inner tech genius.,I guess babies just have their own way of calling for attention.,Looks like this little one is trying to impress their parents by pretending to have a phone.
561,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: an undefined space 
 description: Two dogs are facing each other with their heads inside a shared cone collar. 
 uncanny description: It is unusual for two dogs to share a single cone collar. 
 entities: Dogs, Cone_collar <> 
 funny caption: [\INST]","I guess they were trying to save on grooming costs, but it looks like they ended up sharing more than just a collar.","Woof woof! Two's company, three's a pack... but six's just enough to fill one collar!",It's always a good idea to keep your nose clean...and your ears dry.,It's a woof-off to see who gets the last kibble.,It's a dog-gone love triangle!,Why did the dogs break up? Because they were getting too 'cone-d'.,Two dogs found a way to save on grooming costs by sharing a single cone collar.,It looks like these dogs have found the ultimate form of equality...in a shared cone collar.,It's like they're sharing a love cone.,What do you call a couple that's always barking at the same pitch? A Fetch.
564,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: an office 
 description: A woman is standing in front of a desk in an office. Behind the desk, a man is sitting with several owls lined up on the desk in front of him. 
 uncanny description: It is unusual to see a man in an office with a group of owls on his desk. 
 entities: Man, Woman, Owls <> 
 funny caption: [\INST]",It's no wonder he was promoted to chief owl officer.,Why did the owl refuse to share its wisdom? Because it was afraid of being overshadowed by the man in the office.,Why did the woman bring a ladder to the office? Because she wanted to reach new heights in her career!,I guess this is why they call it 'Owl'd Out!',The owl boss is giving her a hard time about those late reports.,Why do they call it an 'office' when there's no windows?,It's a hoot to work with such wise feathered colleagues.,Owl-sighting in the workplace leads to productivity boost.,The office bird watcher had quite the feathered friends.,The only thing more mysterious than this man's work ethic is how he managed to convince the owls to join him.
567,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a bedroom 
 description: A man is standing next to a bed, talking to another man who is dressed in a suit and holding a briefcase and a coffee cup while still in bed. The man in the bed looks ready for work despite being under the covers. 
 uncanny description: It is unusual for someone to be fully dressed for work and holding a briefcase while still in bed. 
 entities: Businessman, Bed <> 
 funny caption: [\INST]",It's amazing how much productivity a good night's sleep can bring... especially when it comes to answering emails.,Looks like this businessman took his job literally - even when it comes to snooze time.,Looks like this guy really knows how to multitask in bed!,"It turns out that working from bed isn't just comfortable, it's also productive!",It's like he's trying to do a job interview from the comfort of his own home.,"""I guess the phrase 'rise and shine' now means 'rise and shave.'""",Looks like this businessman takes 'early bird' literally!,Looks like this guy has mastered the art of multitasking in bed.,"Looks like this guy's really taking his job seriously, even when it comes to getting out of bed.","Well, it's clear he's got his priorities straight...even if they involve waking up early for a meeting in bed."
