contest_number,info,prompt,caption1,caption2,caption3,caption4,caption5,caption6,caption7,caption8,caption9,caption10
536,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a therapist's office 
 description: A self-driving car is lying on a therapist's couch, while the therapist, a woman with glasses, is taking notes. 
 uncanny description: A car cannot lie on a therapist's couch and talk about its problems. 
 entities: Self-driving_car, Therapist <> 
 funny caption: [/INST]",When your car's anxiety leads it to seek therapy.,Why did the self-driving car feel so lost? Because it had no sense of direction...in therapy.,When your self-driving car gets in touch with its feelings.,The self-driving car had a case of road rage - it just couldn't get over being stuck in traffic.,Therapy session gone awry? This car seems to have hit a roadblock - literally.,"When your self-driving car needs therapy, it knows who to turn to.",Why did the self-driving car go to therapy? Because it needed to work through its 'self-parking' issues!,"""I never thought therapy would have such a smooth ride."" This caption plays off the idea of the self-driving car being able to drive itself, which is an unusual element in the cartoon. Additionally, it connects the car to the idea of therapy having a smooth and easy process. However, it also suggests that there is something unexpected happening in the therapist's office, making it more engaging for the reader.",When your self-driving car starts talking therapy: 'I just can't handle all these GPS directions!',When your car needs therapy more than you do.
537,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a living room 
 description: A person is sitting in a living room talking to another person. In the background, a large roll of paper is being delivered through an archway by a delivery person. 
 uncanny description: It is unusual to have a giant roll of paper delivered to a living room. 
 entities: Delivery_person, Roll_of_paper <> 
 funny caption: [/INST]",The delivery person had no idea they were dealing with a reclusive paper hoarder.,When your friend comes over with a surprise party and all you have to offer is a roll of wallpaper.,When your best friend brings over a surprise party... and it's just a big ol' roll of wrapping paper!,When your friend comes over and brings their entire life with them.,"""Looks like someone's trying to paper over their problems."" (This caption plays off the idea that the roll of paper could represent a solution to the conversation taking place in the living room.)",When your boss tells you to expect the unexpected.,"""Looks like someone just got hitched...with a lifetime supply of toilet paper!"" This caption plays off the idea of getting married and receiving a dowry, but instead it's a massive roll of paper.",Why did the delivery person bring a library to the living room? Because it heard the homeowner was looking to expand their knowledge!,"It's amazing how much paperwork we accumulate over time, even from our own couch!","When your friend asks to borrow a pen, but you're feeling generous."
545,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a conference room 
 description: A group of business people are sitting around a large conference table in a high-rise office. There is a plant sitting in a chair at the head of the table. 
 uncanny description: It is unusual for a plant to be sitting in a chair at a business meeting. 
 entities: Business_people, Plant <> 
 funny caption: [/INST]",It's clear who runs this show - the plant is in charge!,It's clear that this plant is the boss of the meeting.,It's clear that this plant is the real boss in the room - it's got more leaves than any of these suits!,I'm here to offer my expertise on interplant communication.,"""Looks like this plant has a vested interest in these meetings."" (This caption plays on the double meaning of ""vested,"" which could refer both to the plant being interested in the proceedings and to the business people having a financial stake in the outcome.)",Looks like this conference room just got its own CEO - a plant!,It's clear this plant is the boss of the boardroom.,"Well, it looks like we have a new member of the team - a leafy boss.","Plants have been known to make great speakers at conferences, especially when they're on the agenda.","""I guess we could call this the 'Green Room'!"" This caption plays on the idea of a plant being out of place in a professional setting, while also referencing the common term for a gathering space where guests wait before events. By making the connection between the two, the humor comes from unexpectedly thinking of the plant in a new way."
550,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a large room with a piano 
 description: A man is sitting alone in a large room with several empty chairs. At the front of the room, a person is playing a piano. The room is decorated with paintings and has a large window with a cityscape view. 
 uncanny description: It is unusual for a person to be the only one in a large room while someone plays the piano. 
 entities: Pianist, Audience_member <> 
 funny caption: [/INST]","It's just the pianist and I in this big ol' room, and let me tell ya, it's like we're the only two people on Earth.","""It's just me and the music at this concert."" (Explanation: This caption plays on the idea that the person in the room is both the pianist and the audience member, suggesting that they are performing solo.)","""I guess it's just me and my inner pianist."" This caption plays off the idea of being the only person in the room and implies that the pianist is also present in the room, making it seem like they have their own internal musical accompaniment.","""The pianist was clearly the life of the party."" This caption playfully implies that the lone person playing the piano is entertaining everyone else in the room, despite there being no other audience members present.","""Looks like this pianist has no audience... yet!"" This caption plays on the idea that the pianist is performing in front of an empty room, making it seem like they have no audience to appreciate their music. However, the wording implies that there could potentially be an audience present at any moment, adding an element of humor to the situation.","The pianist played so well, the audience left the room.","""It's like watching a symphony of solitude."" (Explanation: This caption plays on the idea that the pianist is performing a symphony, which typically requires an audience, but in this case, the only audience member is watching from the empty chairs.)",Why did the pianist bring his own audience? Because he wanted to fill the empty seats.,The pianist had great stage presence...too bad no one else showed up.,The pianist clearly wasn't expecting a standing ovation.
551,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: New York Harbor 
 description: A group of people are rowing a boat in the ocean near the Statue of Liberty. A giant wave with a face is about to crash down on them. 
 uncanny description: Waves don't have faces and don't appear to be alive. 
 entities: Rowboat, Statue_of_Liberty, Anthropomorphic_wave <> 
 funny caption: [/INST]",Looks like these rowers didn't expect to hit rough waters... literally!,"Well, it looks like they're really getting a feel for the waves in New York Harbor.",Looks like they're in deep water now.,Looks like they're heading straight into the mouth of the big blue beast.,Wave: Why did you join us on this trip? We were promised calm waters.,"""Looks like they're in for a wave of trouble!"" - This caption plays off the double meaning of ""wave,"" which can refer both to the literal water crashing down on the rowers and the idea of encountering a problem or challenge. It also uses wordplay to make the phrase ""in for a wave of trouble"" sound like a pun. Overall, it's a clever and unexpected way to approach the situation depicted in the cartoon.",Looks like they're going to have quite the splash landing at Lady Liberty!,Looks like they're in for a rough ride...literally!,Looks like they forgot to check the tide before setting sail.,"Well, it looks like they're going overboard on the tourism."
557,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: the Garden of Eden 
 description: A man and a woman are standing in a lush garden. The woman is holding a steaming pie and offering it to the man, while a snake is coiled around a tree branch above them. 
 uncanny description: Instead of an apple, the woman is offering a pie, which is anachronistic. 
 entities: Adam, Eve, Snake, Pie <> 
 funny caption: [/INST]","When you thought the Garden of Eden couldn't get any sweeter, she pulls out a cherry pie!",Adam couldn't resist Eve's sweet temptation - even though she was offering him a pie instead of an apple!,Adam's apple got swapped for a pie - looks like he's finally found his sweet side!,"""Adam couldn't resist temptation, even when it was served up in a flaky crust."" This caption plays off the idea that the woman is offering something tempting to the man, but instead of an apple (which would be more fitting), she is offering a pie. It also references the classic story of Adam and Eve being tempted by the serpent in the Garden of Eden.",Adam couldn't resist Eve's sweet temptation - even though she was offering him a slice of apple pie instead of the traditional fruit.,"""Adam and Eve were always on a roll when it came to dessert."" (This plays off the idea of ""being on a roll"" meaning they're successful, and also the fact that they ate an apple, which was rolled.)",Adam took one bite of Eve's fruit pie and realized he had just bitten into his own history.,"""Adam couldn't resist Eve's sweet temptation, even if it was a little off the wall."" (Explanation: This caption plays on the fact that pie is not typically associated with temptation in the story of Adam and Eve, making the idea of Eve offering him a pie seem strange and amusing.)","Adam couldn't resist the temptation of the sweet, flaky crust, even though it was clearly a sinister plot by the wily serpent.","Adam's sweet tooth was so strong, he couldn't resist even in paradise."
558,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a nursery 
 description: A baby is sitting in a crib, holding a baby monitor. The baby looks like they are trying to communicate through the monitor. 
 uncanny description: Babies don't usually use baby monitors to communicate. 
 entities: Baby, Crib, Baby_monitor <> 
 funny caption: [/INST]","""It's clear this baby isn't afraid of a good prank call."" (This caption plays off the fact that babies typically cannot speak and often rely on their caregivers to interpret their needs and wants)","""Baby wants a new app, but all it gets is a lullaby."" This caption plays off the idea that babies typically use baby monitors to keep track of their caregivers, rather than to communicate themselves. By suggesting that the baby in the cartoon is trying to send a message, the caption adds an element of humor and absurdity to the situation. Additionally, the reference to a ""new app"" adds a modern twist to the traditional baby monitor, making the caption even more playful. Overall, this caption strikes a balance between humor and observation, making it both clever and relatable to readers who have experience caring for infants.","It turns out babies are actually great at multitasking - while napping, monitoring their own sleep!",Baby: 'Hello? Is there anyone out there who understands my gibberish?',"""Just because babies can't talk doesn't mean they can't text."" (This caption plays on the idea that babies are using the baby monitor as a way to communicate, even though they can't actually speak.)","The baby may have been a genius, but their communication skills were lacking.",Why did the baby refuse to nap? Because it was too busy texting their mom on the baby monitor!,"""Baby: 'Mommy! Can you hear me? No response.' Mommy: 'Yeah, because you're talking to a piece of technology.'"" This caption plays off the idea that babies typically cannot communicate with adults yet, so the fact that the baby is using a baby monitor to try and talk to their mother seems comical. The wording also implies that the mother is unaware of her baby's attempts at communication, which adds to the humor.",This baby clearly has some big plans - they just need to figure out how to make their own phone call.,"It seems this baby has taken their communication skills to new heights...or rather, lows."
561,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: an undefined space 
 description: Two dogs are facing each other with their heads inside a shared cone collar. 
 uncanny description: It is unusual for two dogs to share a single cone collar. 
 entities: Dogs, Cone_collar <> 
 funny caption: [/INST]","""It's a woof-woof world after all"" - This caption plays on the phrase ""it's a dog eat dog world,"" implying that the two dogs sharing the cone collar have formed an unlikely bond despite being competitors in the dog world. The use of ""woof-woof"" adds to the playful nature of the caption.","""It's like they're trying to save on dog treats by sharing this cone, but they'll probably end up fighting over it."" (This caption plays off the idea that dogs often fight over toys and treats, so sharing one item could lead to conflict.)","""Two heads are better than one... unless they're sharing a cone collar."" This caption plays on the idea that it's generally more advantageous for individuals to work together and combine their strengths than to compete against each other. In this case, however, the dogs have taken collaboration to an extreme by literally joining forces - and their heads - through a single cone collar. This absurdity lends itself well to humor, especially when framed as a slightly exaggerated twist on a familiar saying.","""When you find the perfect match for your 'bitch'."" (Explanation: This caption plays on the double meaning of the word ""bitch,"" which can refer both to a female dog and a derogatory term for a woman.)",Two dogs living life on the wild side... in matching cone collars.,When you realize that sharing is caring... even when it's a giant dog-shaped cone.,When two dogs decide to share everything.,"""I guess they were feeling collared by circumstance."" This caption plays off the idea of being trapped or restricted, which could apply to the dogs sharing a single cone collar. The use of the phrase ""circumstance"" also adds a layer of humor by suggesting that the situation was unexpected or out of their control.","When two dogs agree on everything, they're happy to share the same cone collar.","""Two dogs sharing a single cone collar - because they say nothing comes between friends."" This caption plays on the double meaning of the phrase ""nothing comes between,"" which could refer both to the fact that the dogs are friends and that they are sharing something (the cone collar)."
564,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: an office 
 description: A woman is standing in front of a desk in an office. Behind the desk, a man is sitting with several owls lined up on the desk in front of him. 
 uncanny description: It is unusual to see a man in an office with a group of owls on his desk. 
 entities: Man, Woman, Owls <> 
 funny caption: [/INST]",Perhaps this man's boss is an owl aficionado.,"""Why did the man invite all these owls to his meeting? Because he wanted to hear their wisdom on the matter!"" This caption plays off the idea that owls are often associated with wisdom and knowledge, so inviting them to a meeting could imply that the man is seeking their expertise. The use of the word ""uncanny"" in the prompt also adds to the humor by suggesting that the sight of the man with owls on his desk is unexpected and slightly strange.",It's clear who's calling the shots at this company - it's the wise old owls perched behind the desk.,"The boss wanted more diversity in the office, so he hired a few owl interns.",Why did the boss hire a team of wise owls? To make sure he's always ahead of the curve!,It's clear this man has taken 'owl' business seriously.,It seems like this office is filled with hoots of laughter.,"The man in the office seems to have an odd affinity for birds, but he's sure these owls know how to keep things hush.",It's clear this man has a hoot of a job.,Why did the owl cross the road? To get to the other side of the paperwork.
567,validation,"[INST] <> I want you to act as a sophisticated reader of The New Yorker Magazine. You are competing in The New Yorker Cartoon Caption Contest.  Your task is to generate funny captions for a cartoon. Here are some ideas for developing funny captions. 
 First think about characteristics associated with the objects and people featured in the cartoon. Then consider what are the unusual or absurd elements in the cartoon. It might help to imagine conversations between the characters. Then think about funny and non-obvious connections that can be made between the objects and characters. Try to come up with funny captions that fit the cartoon, but are not too direct. It may be funnier if the person reading the caption has to think a little bit to get the joke. Next, I will describe a cartoon image and then you should generate 1 funny caption for the cartoon along with an explanation for each. 
 scene: a bedroom 
 description: A man is standing next to a bed, talking to another man who is dressed in a suit and holding a briefcase and a coffee cup while still in bed. The man in the bed looks ready for work despite being under the covers. 
 uncanny description: It is unusual for someone to be fully dressed for work and holding a briefcase while still in bed. 
 entities: Businessman, Bed <> 
 funny caption: [/INST]",Looks like this businessman took 'working from home' to a whole new level.,It's amazing how much productivity one can achieve from the comfort of their own bed.,When 'working from home' means never leaving your bedroom!,"""It's amazing how much more productive we can be when we don't have to leave our beds."" (Explanation: This caption plays off the idea that it is unusual for someone to be fully dressed for work and holding a briefcase while still in bed, suggesting that they might be more efficient if they were actually working.)",What do they call a businessman who's always on time? A 'punctuality blanket.',"It seems this businessman takes his job seriously, even when he's just waking up.","It's clear he takes his job seriously, even if it means waking up early.",Why did the businessman refuse to leave his bed? He had a lot on his plate!,"""When you said 'work from home', I didn't expect this level of commitment."" - Businesswoman, who is also standing next to the bed.","""Well, it's clear that this businessman takes his job very seriously - even when he's just waking up."" This caption plays on the fact that the businessman is dressed in a suit and carrying a briefcase, which suggests he is going to work. However, he is still in bed, which could be seen as strange or unusual. By making a comment about how serious the businessman is taking his job, the caption creates a humorous contrast between his formal attire and his relaxed surroundings."
